pixel,reflectance1,reflectance2,absorption1,absorption2
1,6.21E-05,1.48E-08,,
2,6.21E-05,-7.26E-08,,
3,6.21E-05,3.36E-08,,
4,6.21E-05,1.48E-08,,
5,6.21E-05,3.49E-08,,
6,5.95E-05,4.70E-08,,
7,5.56E-05,3.76E-08,,
8,5.35E-05,5.24E-08,,
9,5.15E-05,1.61E-08,,
10,4.96E-05,4.03E-09,,
11,4.80E-05,8.47E-08,,
12,4.61E-05,2.02E-08,,
13,4.42E-05,-6.72E-09,,
14,4.26E-05,-5.38E-09,,
15,4.12E-05,2.69E-08,,
16,3.96E-05,1.08E-08,,
17,3.81E-05,5.24E-08,,
18,3.70E-05,1.80E-07,,
19,3.55E-05,6.85E-08,,
20,3.42E-05,1.51E-07,,
21,3.30E-05,5.24E-08,,
22,3.16E-05,6.18E-08,,
23,3.04E-05,9.68E-08,,
24,2.93E-05,9.01E-08,,
25,2.80E-05,1.30E-07,,
26,2.72E-05,1.09E-07,,
27,2.60E-05,1.44E-07,,
28,2.49E-05,1.30E-07,,
29,2.44E-05,1.34E-07,,
30,2.35E-05,1.59E-07,,
31,2.24E-05,1.14E-07,,
32,2.16E-05,1.72E-07,,
33,2.09E-05,1.42E-07,,
34,2.00E-05,2.39E-07,,
35,1.96E-05,2.15E-07,,
36,1.87E-05,1.52E-07,,
37,1.81E-05,2.77E-07,,
38,1.75E-05,2.14E-07,,
39,1.72E-05,2.46E-07,,
40,1.62E-05,2.73E-07,,
41,1.56E-05,2.47E-07,,
42,1.49E-05,3.17E-07,,
43,1.44E-05,2.76E-07,,
44,1.38E-05,2.53E-07,,
45,1.34E-05,3.68E-07,,
46,1.30E-05,3.28E-07,,
47,1.24E-05,3.59E-07,,
48,1.19E-05,3.70E-07,,
49,1.16E-05,4.46E-07,,
50,1.12E-05,4.29E-07,,
51,1.08E-05,4.33E-07,,
52,1.03E-05,4.73E-07,,
53,1.00E-05,4.58E-07,,
54,9.59E-06,4.53E-07,,
55,9.27E-06,5.16E-07,,
56,8.95E-06,5.36E-07,,
57,8.55E-06,5.46E-07,,
58,8.26E-06,5.39E-07,,
59,7.98E-06,6.38E-07,,
60,7.71E-06,6.41E-07,,
61,7.46E-06,6.32E-07,,
62,7.16E-06,6.20E-07,,
63,6.96E-06,6.59E-07,,
64,6.77E-06,7.47E-07,,
65,6.44E-06,7.34E-07,,
66,6.29E-06,8.23E-07,,
67,6.03E-06,8.04E-07,,
68,5.80E-06,8.06E-07,,
69,5.61E-06,8.84E-07,,
70,5.41E-06,9.39E-07,,
71,5.18E-06,8.47E-07,,
72,4.98E-06,9.35E-07,,
73,4.80E-06,1.01E-06,,
74,4.60E-06,1.06E-06,,
75,4.52E-06,1.06E-06,,
76,4.30E-06,1.11E-06,,
77,4.13E-06,1.16E-06,,
78,4.04E-06,1.22E-06,,
79,3.91E-06,1.26E-06,,
80,3.75E-06,1.31E-06,,
81,3.63E-06,1.34E-06,,
82,3.44E-06,1.38E-06,,
83,3.39E-06,1.48E-06,,
84,3.28E-06,1.64E-06,,
85,3.18E-06,1.58E-06,,
86,3.05E-06,1.70E-06,,
87,2.97E-06,1.75E-06,,
88,2.81E-06,1.82E-06,,
89,2.78E-06,1.91E-06,,
90,2.62E-06,1.96E-06,,
91,2.60E-06,2.04E-06,,
92,2.49E-06,2.10E-06,,
93,2.37E-06,2.19E-06,,
94,2.26E-06,2.33E-06,,
95,2.21E-06,2.45E-06,,
96,2.14E-06,2.53E-06,,
97,2.05E-06,2.65E-06,,
98,2.08E-06,2.87E-06,,
99,1.91E-06,2.92E-06,,
100,1.88E-06,3.11E-06,,
101,1.78E-06,3.19E-06,,
102,1.71E-06,3.31E-06,,
103,1.67E-06,3.48E-06,,
104,1.60E-06,3.70E-06,,
105,1.54E-06,3.87E-06,,
106,1.50E-06,4.04E-06,,
107,1.52E-06,4.35E-06,,
108,1.39E-06,4.52E-06,,
109,1.37E-06,4.77E-06,,
110,1.29E-06,4.99E-06,,
111,1.28E-06,5.30E-06,,
112,1.22E-06,5.59E-06,,
113,1.12E-06,5.95E-06,,
114,1.18E-06,6.22E-06,,
115,1.11E-06,6.50E-06,,
116,1.05E-06,6.98E-06,,
117,9.71E-07,7.32E-06,,
118,9.62E-07,7.80E-06,,
119,9.59E-07,8.21E-06,,
120,8.81E-07,8.72E-06,,
121,8.99E-07,9.30E-06,,
122,8.18E-07,9.81E-06,,
123,8.43E-07,1.04E-05,,
124,7.74E-07,1.10E-05,,
125,7.24E-07,1.17E-05,,
126,7.50E-07,1.24E-05,,
127,7.24E-07,1.30E-05,,
128,6.61E-07,1.37E-05,,
