pixel,reflectance1,reflectance2,absorption1,absorption2
1,4.59E-05,6.10E-07,,
2,4.40E-05,6.47E-07,,
3,4.23E-05,6.92E-07,,
4,4.06E-05,6.32E-07,,
5,3.87E-05,6.70E-07,,
6,3.70E-05,6.64E-07,,
7,3.52E-05,7.05E-07,,
8,3.37E-05,8.12E-07,,
9,3.20E-05,7.66E-07,,
10,3.06E-05,8.33E-07,,
11,2.93E-05,8.53E-07,,
12,2.79E-05,8.35E-07,,
13,2.66E-05,8.75E-07,,
14,2.53E-05,8.48E-07,,
15,2.42E-05,9.57E-07,,
16,2.30E-05,9.55E-07,,
17,2.19E-05,9.93E-07,,
18,2.10E-05,9.93E-07,,
19,2.01E-05,1.08E-06,,
20,1.93E-05,1.10E-06,,
21,1.85E-05,1.13E-06,,
22,1.76E-05,1.12E-06,,
23,1.69E-05,1.17E-06,,
24,1.61E-05,1.24E-06,,
25,1.54E-05,1.27E-06,,
26,1.48E-05,1.32E-06,,
27,1.41E-05,1.29E-06,,
28,1.36E-05,1.34E-06,,
29,1.31E-05,1.36E-06,,
30,1.27E-05,1.52E-06,,
31,1.21E-05,1.53E-06,,
32,1.16E-05,1.56E-06,,
33,1.11E-05,1.59E-06,,
34,1.07E-05,1.63E-06,,
35,1.04E-05,1.68E-06,,
36,9.90E-06,1.80E-06,,
37,9.59E-06,1.73E-06,,
38,9.21E-06,1.92E-06,,
39,9.09E-06,1.94E-06,,
40,8.49E-06,1.98E-06,,
41,8.14E-06,2.03E-06,,
42,7.86E-06,2.09E-06,,
43,7.61E-06,2.20E-06,,
44,7.24E-06,2.17E-06,,
45,7.00E-06,2.33E-06,,
46,6.75E-06,2.30E-06,,
47,6.56E-06,2.50E-06,,
48,6.28E-06,2.49E-06,,
49,6.06E-06,2.55E-06,,
50,5.86E-06,2.65E-06,,
51,5.57E-06,2.72E-06,,
52,5.44E-06,2.89E-06,,
53,5.24E-06,2.93E-06,,
54,5.05E-06,3.10E-06,,
55,4.95E-06,3.17E-06,,
56,4.73E-06,3.30E-06,,
57,4.57E-06,3.44E-06,,
58,4.46E-06,3.60E-06,,
59,4.29E-06,3.64E-06,,
60,4.14E-06,3.73E-06,,
61,3.99E-06,3.92E-06,,
62,3.89E-06,4.02E-06,,
63,3.86E-06,4.24E-06,,
64,3.66E-06,4.36E-06,,
65,3.52E-06,4.44E-06,,
66,3.37E-06,4.63E-06,,
67,3.28E-06,4.76E-06,,
68,3.23E-06,4.94E-06,,
69,3.03E-06,5.12E-06,,
70,2.96E-06,5.31E-06,,
71,2.83E-06,5.45E-06,,
72,2.80E-06,5.66E-06,,
73,2.68E-06,5.87E-06,,
74,2.57E-06,6.07E-06,,
75,2.53E-06,6.31E-06,,
76,2.40E-06,6.51E-06,,
77,2.33E-06,6.76E-06,,
78,2.21E-06,6.95E-06,,
79,2.17E-06,7.22E-06,,
80,2.05E-06,7.60E-06,,
81,2.02E-06,7.95E-06,,
82,1.96E-06,8.27E-06,,
83,1.88E-06,8.43E-06,,
84,1.81E-06,8.88E-06,,
85,1.76E-06,9.33E-06,,
86,1.75E-06,9.65E-06,,
87,1.66E-06,9.92E-06,,
88,1.58E-06,1.03E-05,,
89,1.57E-06,1.09E-05,,
90,1.51E-06,1.13E-05,,
91,1.49E-06,1.17E-05,,
92,1.47E-06,1.22E-05,,
93,1.37E-06,1.26E-05,,
94,1.39E-06,1.30E-05,,
95,1.29E-06,1.35E-05,,
96,1.28E-06,1.42E-05,,
97,1.19E-06,1.47E-05,,
98,1.19E-06,1.54E-05,,
99,1.19E-06,1.61E-05,,
100,1.07E-06,1.65E-05,,
101,1.10E-06,1.72E-05,,
102,1.05E-06,1.78E-05,,
103,1.01E-06,1.86E-05,,
104,1.02E-06,1.92E-05,,
105,9.41E-07,2.01E-05,,
106,9.63E-07,2.08E-05,,
107,8.98E-07,2.17E-05,,
108,8.51E-07,2.26E-05,,
109,8.52E-07,2.35E-05,,
110,8.33E-07,2.44E-05,,
111,8.09E-07,2.55E-05,,
112,7.51E-07,2.63E-05,,
113,7.61E-07,2.72E-05,,
114,7.42E-07,2.83E-05,,
115,6.98E-07,2.95E-05,,
116,6.67E-07,3.07E-05,,
117,6.51E-07,3.20E-05,,
118,6.40E-07,3.34E-05,,
119,6.59E-07,3.47E-05,,
120,5.95E-07,3.61E-05,,
121,5.83E-07,3.76E-05,,
122,5.82E-07,3.92E-05,,
123,5.72E-07,4.11E-05,,
124,5.56E-07,4.28E-05,,
125,5.40E-07,4.43E-05,,
126,4.97E-07,4.61E-05,,
127,5.36E-07,4.80E-05,,
128,4.88E-07,4.99E-05,,
