pixel,reflectance1,reflectance2,absorption1,absorption2
1,6.87E-05,1.22E-06,,
2,6.66E-05,1.25E-06,,
3,6.46E-05,1.34E-06,,
4,6.27E-05,1.25E-06,,
5,6.04E-05,1.38E-06,,
6,5.83E-05,1.43E-06,,
7,5.64E-05,1.34E-06,,
8,5.44E-05,1.41E-06,,
9,5.23E-05,1.49E-06,,
10,5.05E-05,1.50E-06,,
11,4.88E-05,1.59E-06,,
12,4.70E-05,1.53E-06,,
13,4.52E-05,1.62E-06,,
14,4.35E-05,1.72E-06,,
15,4.22E-05,1.69E-06,,
16,4.07E-05,1.75E-06,,
17,3.91E-05,1.76E-06,,
18,3.78E-05,1.83E-06,,
19,3.63E-05,1.85E-06,,
20,3.51E-05,1.94E-06,,
21,3.39E-05,1.98E-06,,
22,3.25E-05,2.02E-06,,
23,3.14E-05,2.16E-06,,
24,3.04E-05,2.10E-06,,
25,2.91E-05,2.14E-06,,
26,2.83E-05,2.34E-06,,
27,2.73E-05,2.28E-06,,
28,2.63E-05,2.36E-06,,
29,2.55E-05,2.53E-06,,
30,2.47E-05,2.52E-06,,
31,2.37E-05,2.62E-06,,
32,2.29E-05,2.64E-06,,
33,2.20E-05,2.68E-06,,
34,2.15E-05,2.79E-06,,
35,2.07E-05,2.86E-06,,
36,2.00E-05,3.00E-06,,
37,1.95E-05,3.09E-06,,
38,1.87E-05,3.05E-06,,
39,1.85E-05,3.29E-06,,
40,1.73E-05,3.26E-06,,
41,1.67E-05,3.34E-06,,
42,1.62E-05,3.45E-06,,
43,1.56E-05,3.59E-06,,
44,1.52E-05,3.64E-06,,
45,1.46E-05,3.80E-06,,
46,1.42E-05,3.90E-06,,
47,1.36E-05,3.93E-06,,
48,1.33E-05,4.08E-06,,
49,1.29E-05,4.27E-06,,
50,1.24E-05,4.40E-06,,
51,1.21E-05,4.58E-06,,
52,1.18E-05,4.73E-06,,
53,1.13E-05,4.83E-06,,
54,1.09E-05,4.98E-06,,
55,1.07E-05,5.13E-06,,
56,1.04E-05,5.24E-06,,
57,1.00E-05,5.45E-06,,
58,9.65E-06,5.63E-06,,
59,9.36E-06,5.81E-06,,
60,9.15E-06,6.01E-06,,
61,8.73E-06,6.08E-06,,
62,8.55E-06,6.22E-06,,
63,8.35E-06,6.57E-06,,
64,8.04E-06,6.72E-06,,
65,7.78E-06,6.93E-06,,
66,7.50E-06,7.09E-06,,
67,7.33E-06,7.33E-06,,
68,7.06E-06,7.54E-06,,
69,6.82E-06,7.84E-06,,
70,6.61E-06,8.05E-06,,
71,6.45E-06,8.31E-06,,
72,6.23E-06,8.55E-06,,
73,6.03E-06,8.82E-06,,
74,5.77E-06,9.02E-06,,
75,5.69E-06,9.35E-06,,
76,5.54E-06,9.73E-06,,
77,5.28E-06,1.00E-05,,
78,5.14E-06,1.03E-05,,
79,4.99E-06,1.06E-05,,
80,4.76E-06,1.09E-05,,
81,4.67E-06,1.13E-05,,
82,4.51E-06,1.17E-05,,
83,4.46E-06,1.20E-05,,
84,4.24E-06,1.24E-05,,
85,4.22E-06,1.29E-05,,
86,4.05E-06,1.32E-05,,
87,3.90E-06,1.37E-05,,
88,3.85E-06,1.42E-05,,
89,3.78E-06,1.47E-05,,
90,3.61E-06,1.53E-05,,
91,3.53E-06,1.58E-05,,
92,3.40E-06,1.62E-05,,
93,3.33E-06,1.67E-05,,
94,3.17E-06,1.71E-05,,
95,3.07E-06,1.79E-05,,
96,3.04E-06,1.84E-05,,
97,2.96E-06,1.92E-05,,
98,2.94E-06,2.01E-05,,
99,2.76E-06,2.06E-05,,
100,2.68E-06,2.13E-05,,
101,2.63E-06,2.18E-05,,
102,2.50E-06,2.26E-05,,
103,2.45E-06,2.36E-05,,
104,2.36E-06,2.44E-05,,
105,2.34E-06,2.51E-05,,
106,2.22E-06,2.61E-05,,
107,2.16E-06,2.73E-05,,
108,2.12E-06,2.83E-05,,
109,2.13E-06,2.92E-05,,
110,2.02E-06,3.03E-05,,
111,1.99E-06,3.14E-05,,
112,1.93E-06,3.25E-05,,
113,1.87E-06,3.37E-05,,
114,1.80E-06,3.50E-05,,
115,1.74E-06,3.61E-05,,
116,1.71E-06,3.75E-05,,
117,1.63E-06,3.88E-05,,
118,1.59E-06,4.04E-05,,
119,1.60E-06,4.17E-05,,
120,1.56E-06,4.33E-05,,
121,1.47E-06,4.48E-05,,
122,1.46E-06,4.67E-05,,
123,1.43E-06,4.83E-05,,
124,1.39E-06,5.00E-05,,
125,1.31E-06,5.16E-05,,
126,1.35E-06,5.35E-05,,
127,1.30E-06,5.51E-05,,
128,1.29E-06,5.71E-05,,
