,,,,,,,A850i,B850i,A850ii  ,B850ii  ,refletance1(850)=i850-ambient/(8741*(A850i*255+B850i));,,,,,,,
Experiment data,9/10/2019,9:58:52,,,,,956,-142000,864,-146000,,,,,,,,
,,,,,,,,,,,,,,,,,,
Collected Light Intensity,,,,,,,,,,,,,,,,,,
Intensity:,239,217,192,252,255,225,194,255,,,,,,,,,,
Integration time: ,6456,,,,,,,,,,,,,,K8/($B$6*($H$2*$E$5+$I$2)),L8/($B$6*($J$2*$I$5+$K$2)),,
Wavelength,i690,i750,i800,i850,ii690,ii750,ii800,ii850,Ambient,,,i850-Ambient,ii850-Ambient,pixel,reflectance1,reflectance2,absorption1,absorption2
 ,13192,13303,13179,12413,3860,6933,6872,4705,806,16246,,11607,3899,49,1.81764E-05,8.12613E-06,,
 ,12819,12924,12808,12052,3963,7064,6977,4740,808,15974,,11244,3932,50,1.76079E-05,8.19491E-06,,
 ,12501,12633,12489,11713,4079,7201,7190,4885,796,15784,,10917,4089,51,1.70959E-05,8.52212E-06,,
 ,12108,12204,12198,11346,4152,7354,7329,4980,803,15457,,10543,4177,52,1.65102E-05,8.70553E-06,,
 ,11846,12028,11806,11019,4216,7570,7492,5119,773,15289,,10246,4346,53,1.60451E-05,9.05775E-06,,
 ,11533,11725,11469,10776,4294,7793,7690,5247,801,15026,,9975,4446,54,1.56207E-05,9.26617E-06,,
 ,11280,11343,11159,10408,4436,7911,7852,5318,806,14910,,9602,4512,55,1.50366E-05,9.40372E-06,,
 ,10902,11065,10850,10167,4529,8132,8054,5505,793,14638,,9374,4712,56,1.46795E-05,9.82056E-06,,
 ,10706,10727,10582,9958,4588,8293,8256,5623,807,14487,,9151,4816,57,1.43303E-05,1.00373E-05,,
 ,10397,10477,10373,9636,4712,8527,8413,5742,791,14318,,8845,4951,58,1.38511E-05,1.03187E-05,,
 ,10207,10253,10035,9393,4803,8732,8653,5889,811,14199,,8582,5078,59,1.34393E-05,1.05834E-05,,
 ,9896,9950,9821,9125,4953,8896,8863,6003,802,14047,,8323,5201,60,1.30337E-05,1.08397E-05,,
 ,9618,9724,9595,8930,5015,9139,9088,6175,811,13822,,8119,5364,61,1.27142E-05,1.11794E-05,,
 ,9492,9446,9400,8738,5088,9376,9301,6377,803,13777,,7935,5574,62,1.24261E-05,1.16171E-05,,
 ,9176,9390,9119,8545,5265,9685,9492,6524,801,13640,,7744,5723,63,1.2127E-05,1.19276E-05,,
 ,8986,9072,8921,8292,5400,9841,9827,6657,791,13595,,7501,5866,64,1.17465E-05,1.22257E-05,,
 ,8745,8792,8684,8083,5516,10087,10005,6837,765,13496,,7318,6072,65,1.14599E-05,1.2655E-05,,
 ,8560,8599,8470,7803,5574,10327,10241,6996,801,13333,,7002,6195,66,1.0965E-05,1.29114E-05,,
 ,8335,8365,8196,7635,5706,10592,10458,7122,798,13243,,6837,6324,67,1.07066E-05,1.31802E-05,,
 ,8100,8208,8089,7439,5833,10849,10720,7365,772,13161,,6667,6593,68,1.04404E-05,1.37409E-05,,
 ,7980,7931,7858,7260,6009,11139,11042,7495,802,13187,,6458,6693,69,1.01131E-05,1.39493E-05,,
 ,7756,7811,7689,7105,6148,11413,11256,7671,806,13098,,6299,6865,70,9.86414E-06,1.43077E-05,,
 ,7597,7591,7485,6904,6267,11719,11634,7867,817,13047,,6087,7050,71,9.53215E-06,1.46933E-05,,
 ,7385,7482,7340,6724,6429,11948,11882,8148,798,13016,,5926,7350,72,9.28002E-06,1.53186E-05,,
 ,7228,7264,7179,6488,6529,12302,12200,8238,790,12967,,5698,7448,73,8.92298E-06,1.55228E-05,,
 ,7047,7088,6976,6383,6728,12601,12523,8568,776,12999,,5607,7792,74,8.78048E-06,1.62398E-05,,
 ,6889,6920,6804,6242,6860,12920,12849,8737,835,12914,,5407,7902,75,8.46728E-06,1.6469E-05,,
 ,6691,6757,6696,6073,7058,13210,13117,8975,809,12940,,5264,8166,76,8.24334E-06,1.70192E-05,,
 ,6550,6554,6502,5909,7165,13581,13447,9209,781,12934,,5128,8428,77,8.03037E-06,1.75653E-05,,
 ,6435,6396,6339,5827,7409,14002,13782,9483,778,13066,,5049,8705,78,7.90666E-06,1.81426E-05,,
 ,6302,6225,6190,5626,7581,14329,14185,9696,817,13066,,4809,8879,79,7.53082E-06,1.85052E-05,,
 ,6155,6151,6035,5537,7741,14662,14618,9972,785,13111,,4752,9187,80,7.44156E-06,1.91472E-05,,
 ,5995,6022,5919,5405,7984,15071,14985,10254,775,13204,,4630,9479,81,7.25051E-06,1.97557E-05,,
 ,5869,5818,5796,5194,8168,15519,15342,10567,797,13240,,4397,9770,82,6.88563E-06,2.03622E-05,,
 ,5682,5741,5629,5168,8318,15906,15667,10834,785,13215,,4383,10049,83,6.86371E-06,2.09437E-05,,
 ,5638,5599,5564,5023,8563,16455,16087,11151,811,13390,,4212,10340,84,6.59593E-06,2.15502E-05,,
 ,5527,5534,5405,4947,8802,16912,16591,11588,792,13537,,4155,10796,85,6.50667E-06,2.25006E-05,,
 ,5396,5382,5318,4813,9069,17392,17092,11793,777,13688,,4036,11016,86,6.32031E-06,2.29591E-05,,
 ,5262,5283,5190,4778,9260,17806,17532,12102,796,13726,,3982,11306,87,6.23575E-06,2.35635E-05,,
 ,5127,5152,5076,4621,9516,18126,18067,12527,817,13826,,3804,11710,88,5.95701E-06,2.44055E-05,,
 ,5125,5085,4987,4537,9846,18823,18479,12934,776,14195,,3761,12158,89,5.88967E-06,2.53392E-05,,
 ,4978,5021,4885,4456,10173,19469,19017,13420,792,14359,,3664,12628,90,5.73777E-06,2.63188E-05,,
 ,4877,4842,4754,4372,10291,19837,19542,13642,793,14375,,3579,12849,91,5.60466E-06,2.67794E-05,,
 ,4753,4764,4686,4233,10596,20540,20084,14047,781,14568,,3452,13266,92,5.40578E-06,2.76484E-05,,
 ,4657,4675,4563,4218,10923,21095,20695,14559,764,14816,,3454,13795,93,5.40891E-06,2.8751E-05,,
 ,4562,4550,4473,4067,11222,21580,21334,14836,781,15003,,3286,14055,94,5.14583E-06,2.92928E-05,,
 ,4463,4486,4363,4004,11500,22234,21923,15327,824,15139,,3180,14503,95,4.97983E-06,3.02266E-05,,
 ,4329,4388,4330,3920,11801,22838,22493,15762,763,15367,,3157,14999,96,4.94381E-06,3.12603E-05,,
 ,4329,4276,4247,3817,12178,23619,23094,16351,803,15704,,3014,15548,97,4.71988E-06,3.24045E-05,,
 ,4249,4225,4152,3784,12603,24420,23908,16984,820,16032,,2964,16164,98,4.64158E-06,3.36883E-05,,
 ,4149,4144,4047,3720,12985,25205,24643,17486,771,16363,,2949,16715,99,4.61809E-06,3.48367E-05,,
 ,4071,4062,3996,3612,13205,25727,25197,17876,775,16501,,2837,17101,100,4.4427E-06,3.56412E-05,,
 ,3982,3938,3872,3576,13579,26402,25994,18341,816,16745,,2760,17525,101,4.32212E-06,3.65249E-05,,
 ,3899,3912,3827,3478,13970,27070,26758,18916,810,17059,,2668,18106,102,4.17805E-06,3.77358E-05,,
 ,3766,3863,3790,3390,14383,28025,27490,19532,795,17354,,2595,18737,103,4.06373E-06,3.90509E-05,,
 ,3766,3816,3724,3318,14900,28889,28293,20225,804,17862,,2514,19421,104,3.93689E-06,4.04764E-05,,
 ,3692,3725,3639,3267,15299,29622,29264,20726,789,18202,,2478,19937,105,3.88051E-06,4.15519E-05,,
 ,3677,3606,3555,3214,15804,30596,30195,21458,793,18688,,2421,20665,106,3.79125E-06,4.30691E-05,,
