pixel,reflectance1,reflectance2,absorption1,absorption2
1,8.01E-05,5.71E-07,,
2,7.67E-05,6.41E-07,,
3,7.30E-05,5.92E-07,,
4,7.08E-05,6.25E-07,,
5,6.79E-05,6.08E-07,,
6,6.56E-05,6.44E-07,,
7,6.34E-05,7.56E-07,,
8,6.09E-05,6.53E-07,,
9,5.86E-05,7.30E-07,,
10,5.68E-05,7.19E-07,,
11,5.45E-05,7.51E-07,,
12,5.24E-05,7.65E-07,,
13,5.07E-05,8.67E-07,,
14,4.85E-05,8.32E-07,,
15,4.68E-05,9.32E-07,,
16,4.49E-05,8.43E-07,,
17,4.32E-05,9.18E-07,,
18,4.17E-05,1.02E-06,,
19,4.01E-05,9.93E-07,,
20,3.85E-05,1.02E-06,,
21,3.71E-05,1.09E-06,,
22,3.56E-05,1.12E-06,,
23,3.41E-05,1.11E-06,,
24,3.28E-05,1.17E-06,,
25,3.13E-05,1.15E-06,,
26,3.03E-05,1.29E-06,,
27,2.90E-05,1.37E-06,,
28,2.77E-05,1.26E-06,,
29,2.68E-05,1.40E-06,,
30,2.58E-05,1.41E-06,,
31,2.46E-05,1.43E-06,,
32,2.36E-05,1.51E-06,,
33,2.26E-05,1.57E-06,,
34,2.16E-05,1.61E-06,,
35,2.11E-05,1.68E-06,,
36,2.00E-05,1.57E-06,,
37,1.94E-05,1.71E-06,,
38,1.85E-05,1.84E-06,,
39,1.81E-05,1.85E-06,,
40,1.70E-05,1.92E-06,,
41,1.63E-05,1.96E-06,,
42,1.56E-05,2.04E-06,,
43,1.49E-05,2.07E-06,,
44,1.43E-05,2.04E-06,,
45,1.38E-05,2.20E-06,,
46,1.33E-05,2.28E-06,,
47,1.27E-05,2.25E-06,,
48,1.23E-05,2.39E-06,,
49,1.19E-05,2.45E-06,,
50,1.13E-05,2.51E-06,,
51,1.09E-05,2.50E-06,,
52,1.05E-05,2.51E-06,,
53,1.03E-05,2.74E-06,,
54,9.83E-06,2.71E-06,,
55,9.53E-06,2.90E-06,,
56,9.26E-06,2.89E-06,,
57,9.05E-06,3.11E-06,,
58,8.69E-06,3.17E-06,,
59,8.47E-06,3.25E-06,,
60,8.24E-06,3.44E-06,,
61,7.94E-06,3.55E-06,,
62,7.73E-06,3.73E-06,,
63,7.60E-06,3.78E-06,,
64,7.26E-06,4.01E-06,,
65,7.01E-06,4.16E-06,,
66,6.82E-06,4.29E-06,,
67,6.57E-06,4.38E-06,,
68,6.39E-06,4.52E-06,,
69,6.16E-06,4.84E-06,,
70,5.99E-06,4.91E-06,,
71,5.79E-06,5.11E-06,,
72,5.54E-06,5.31E-06,,
73,5.36E-06,5.46E-06,,
74,5.16E-06,5.71E-06,,
75,4.98E-06,5.88E-06,,
76,4.85E-06,6.06E-06,,
77,4.63E-06,6.31E-06,,
78,4.49E-06,6.51E-06,,
79,4.31E-06,6.71E-06,,
80,4.27E-06,7.06E-06,,
81,3.99E-06,7.23E-06,,
82,3.94E-06,7.45E-06,,
83,3.76E-06,7.69E-06,,
84,3.70E-06,8.22E-06,,
85,3.61E-06,8.40E-06,,
86,3.51E-06,8.78E-06,,
87,3.32E-06,9.18E-06,,
88,3.24E-06,9.36E-06,,
89,3.21E-06,9.95E-06,,
90,3.15E-06,1.04E-05,,
91,3.01E-06,1.08E-05,,
92,2.85E-06,1.12E-05,,
93,2.86E-06,1.17E-05,,
94,2.77E-06,1.21E-05,,
95,2.63E-06,1.28E-05,,
96,2.59E-06,1.33E-05,,
97,2.50E-06,1.37E-05,,
98,2.43E-06,1.45E-05,,
99,2.33E-06,1.51E-05,,
100,2.26E-06,1.55E-05,,
101,2.15E-06,1.62E-05,,
102,2.10E-06,1.69E-05,,
103,2.08E-06,1.77E-05,,
104,1.98E-06,1.85E-05,,
105,1.84E-06,1.90E-05,,
106,1.82E-06,1.99E-05,,
107,1.80E-06,2.08E-05,,
108,1.77E-06,2.18E-05,,
109,1.66E-06,2.25E-05,,
110,1.59E-06,2.35E-05,,
111,1.60E-06,2.47E-05,,
112,1.50E-06,2.56E-05,,
113,1.43E-06,2.65E-05,,
114,1.39E-06,2.77E-05,,
115,1.34E-06,2.88E-05,,
116,1.34E-06,2.99E-05,,
117,1.24E-06,3.11E-05,,
118,1.24E-06,3.25E-05,,
119,1.20E-06,3.38E-05,,
120,1.13E-06,3.50E-05,,
121,1.11E-06,3.63E-05,,
122,1.04E-06,3.76E-05,,
123,1.09E-06,3.93E-05,,
124,9.61E-07,4.05E-05,,
125,9.93E-07,4.20E-05,,
126,9.56E-07,4.34E-05,,
127,9.96E-07,4.51E-05,,
128,9.16E-07,4.67E-05,,
