pixel,reflectance1,reflectance2,absorption1,absorption2,,
1,3.12E-05,2.67E-07,,
2,3.00E-05,2.72E-07,,
3,2.90E-05,2.89E-07,,
4,2.80E-05,3.22E-07,,
5,2.69E-05,3.24E-07,,
6,2.58E-05,3.06E-07,,
7,2.48E-05,3.58E-07,,
8,2.38E-05,3.61E-07,,
9,2.27E-05,3.30E-07,,
10,2.18E-05,3.58E-07,,
11,2.10E-05,4.22E-07,,
12,2.00E-05,4.13E-07,,
13,1.92E-05,3.70E-07,,
14,1.83E-05,4.12E-07,,
15,1.76E-05,4.51E-07,,
16,1.69E-05,4.48E-07,,
17,1.62E-05,4.69E-07,,
18,1.56E-05,4.90E-07,,
19,1.50E-05,5.14E-07,,
20,1.44E-05,4.94E-07,,
21,1.38E-05,5.25E-07,,
22,1.33E-05,5.79E-07,,
23,1.27E-05,5.78E-07,,
24,1.22E-05,5.58E-07,,
25,1.18E-05,5.87E-07,,
26,1.14E-05,6.42E-07,,
27,1.09E-05,6.29E-07,,
28,1.05E-05,6.66E-07,,
29,1.02E-05,7.05E-07,,
30,9.87E-06,7.68E-07,,
31,9.49E-06,7.49E-07,,
32,9.17E-06,7.76E-07,,
33,8.78E-06,7.96E-07,,
34,8.52E-06,8.47E-07,,
35,8.28E-06,8.75E-07,,
36,7.94E-06,8.50E-07,,
37,7.71E-06,9.13E-07,,
38,7.47E-06,9.13E-07,,
39,7.34E-06,9.95E-07,,
40,6.88E-06,1.01E-06,,
41,6.70E-06,1.04E-06,,
42,6.46E-06,1.06E-06,,
43,6.26E-06,1.13E-06,,
44,6.02E-06,1.14E-06,,
45,5.86E-06,1.16E-06,,
46,5.66E-06,1.23E-06,,
47,5.49E-06,1.28E-06,,
48,5.30E-06,1.29E-06,,
49,5.17E-06,1.37E-06,,
50,4.91E-06,1.36E-06,,
51,4.78E-06,1.47E-06,,
52,4.64E-06,1.48E-06,,
53,4.49E-06,1.55E-06,,
54,4.36E-06,1.57E-06,,
55,4.22E-06,1.65E-06,,
56,4.12E-06,1.71E-06,,
57,3.96E-06,1.80E-06,,
58,3.84E-06,1.86E-06,,
59,3.68E-06,1.91E-06,,
60,3.59E-06,1.97E-06,,
61,3.44E-06,2.01E-06,,
62,3.33E-06,2.11E-06,,
63,3.29E-06,2.20E-06,,
64,3.17E-06,2.30E-06,,
65,3.01E-06,2.34E-06,,
66,2.95E-06,2.44E-06,,
67,2.83E-06,2.54E-06,,
68,2.73E-06,2.59E-06,,
69,2.67E-06,2.72E-06,,
70,2.57E-06,2.83E-06,,
71,2.47E-06,2.94E-06,,
72,2.39E-06,3.01E-06,,
73,2.30E-06,3.16E-06,,
74,2.22E-06,3.30E-06,,
75,2.16E-06,3.39E-06,,
76,2.10E-06,3.55E-06,,
77,2.00E-06,3.71E-06,,
78,1.91E-06,3.83E-06,,
79,1.87E-06,4.01E-06,,
80,1.80E-06,4.19E-06,,
81,1.72E-06,4.30E-06,,
82,1.71E-06,4.55E-06,,
83,1.62E-06,4.67E-06,,
84,1.59E-06,4.94E-06,,
85,1.53E-06,5.17E-06,,
86,1.43E-06,5.36E-06,,
87,1.40E-06,5.55E-06,,
88,1.36E-06,5.79E-06,,
89,1.32E-06,6.06E-06,,
90,1.28E-06,6.35E-06,,
91,1.25E-06,6.66E-06,,
92,1.17E-06,6.85E-06,,
93,1.16E-06,7.17E-06,,
94,1.13E-06,7.42E-06,,
95,1.05E-06,7.79E-06,,
96,1.04E-06,8.11E-06,,
97,1.00E-06,8.47E-06,,
98,9.95E-07,8.91E-06,,
99,9.57E-07,9.34E-06,,
100,9.19E-07,9.63E-06,,
101,8.91E-07,1.00E-05,,
102,8.68E-07,1.04E-05,,
103,8.32E-07,1.09E-05,,
104,7.97E-07,1.14E-05,,
105,7.68E-07,1.18E-05,,
106,7.39E-07,1.23E-05,,
107,7.36E-07,1.29E-05,,
108,7.00E-07,1.35E-05,,
109,6.52E-07,1.41E-05,,
110,6.80E-07,1.47E-05,,
111,6.42E-07,1.53E-05,,
112,5.95E-07,1.60E-05,,
113,5.98E-07,1.68E-05,,
114,5.69E-07,1.74E-05,,
115,5.50E-07,1.81E-05,,
116,5.31E-07,1.89E-05,,
117,5.21E-07,1.98E-05,,
118,4.77E-07,2.07E-05,,
119,5.10E-07,2.16E-05,,
120,4.80E-07,2.24E-05,,
121,4.78E-07,2.34E-05,,
122,4.62E-07,2.44E-05,,
123,4.47E-07,2.55E-05,,
124,4.32E-07,2.65E-05,,
125,3.93E-07,2.76E-05,,
126,4.01E-07,2.86E-05,,
127,3.90E-07,2.97E-05,,
128,3.85E-07,3.08E-05,,
