pixel,reflectance1,reflectance2,absorption1,absorption2
1,6.34E-05,5.92E-07,,
2,6.10E-05,6.61E-07,,
3,5.90E-05,6.90E-07,,
4,5.71E-05,7.39E-07,,
5,5.49E-05,7.86E-07,,
6,5.28E-05,7.25E-07,,
7,5.08E-05,7.94E-07,,
8,4.89E-05,7.83E-07,,
9,4.68E-05,7.87E-07,,
10,4.51E-05,8.87E-07,,
11,4.34E-05,8.95E-07,,
12,4.16E-05,8.55E-07,,
13,4.00E-05,9.68E-07,,
14,3.85E-05,9.46E-07,,
15,3.71E-05,1.08E-06,,
16,3.55E-05,9.82E-07,,
17,3.41E-05,1.07E-06,,
18,3.29E-05,1.12E-06,,
19,3.18E-05,1.03E-06,,
20,3.06E-05,1.21E-06,,
21,2.95E-05,1.21E-06,,
22,2.82E-05,1.25E-06,,
23,2.73E-05,1.27E-06,,
24,2.63E-05,1.26E-06,,
25,2.53E-05,1.38E-06,,
26,2.44E-05,1.42E-06,,
27,2.35E-05,1.50E-06,,
28,2.24E-05,1.49E-06,,
29,2.18E-05,1.55E-06,,
30,2.11E-05,1.65E-06,,
31,2.03E-05,1.70E-06,,
32,1.95E-05,1.70E-06,,
33,1.87E-05,1.76E-06,,
34,1.80E-05,1.83E-06,,
35,1.76E-05,1.91E-06,,
36,1.68E-05,2.02E-06,,
37,1.63E-05,1.97E-06,,
38,1.58E-05,2.06E-06,,
39,1.56E-05,2.29E-06,,
40,1.46E-05,2.23E-06,,
41,1.40E-05,2.30E-06,,
42,1.35E-05,2.41E-06,,
43,1.31E-05,2.47E-06,,
44,1.25E-05,2.47E-06,,
45,1.21E-05,2.62E-06,,
46,1.18E-05,2.70E-06,,
47,1.13E-05,2.78E-06,,
48,1.08E-05,2.87E-06,,
49,1.05E-05,2.93E-06,,
50,1.01E-05,3.04E-06,,
51,9.89E-06,3.16E-06,,
52,9.43E-06,3.27E-06,,
53,9.22E-06,3.36E-06,,
54,8.85E-06,3.49E-06,,
55,8.55E-06,3.64E-06,,
56,8.26E-06,3.71E-06,,
57,7.98E-06,3.84E-06,,
58,7.69E-06,4.01E-06,,
59,7.55E-06,4.18E-06,,
60,7.23E-06,4.21E-06,,
61,6.93E-06,4.41E-06,,
62,6.71E-06,4.55E-06,,
63,6.60E-06,4.78E-06,,
64,6.32E-06,4.84E-06,,
65,6.05E-06,4.95E-06,,
66,5.94E-06,5.25E-06,,
67,5.68E-06,5.37E-06,,
68,5.52E-06,5.59E-06,,
69,5.33E-06,5.76E-06,,
70,5.16E-06,5.90E-06,,
71,4.98E-06,6.17E-06,,
72,4.80E-06,6.31E-06,,
73,4.65E-06,6.53E-06,,
74,4.47E-06,6.77E-06,,
75,4.25E-06,6.91E-06,,
76,4.18E-06,7.13E-06,,
77,4.00E-06,7.39E-06,,
78,3.88E-06,7.65E-06,,
79,3.76E-06,8.00E-06,,
80,3.66E-06,8.20E-06,,
81,3.50E-06,8.42E-06,,
82,3.41E-06,8.70E-06,,
83,3.30E-06,9.09E-06,,
84,3.15E-06,9.34E-06,,
85,3.09E-06,9.74E-06,,
86,2.99E-06,1.01E-05,,
87,2.86E-06,1.04E-05,,
88,2.79E-06,1.07E-05,,
89,2.75E-06,1.11E-05,,
90,2.65E-06,1.16E-05,,
91,2.55E-06,1.19E-05,,
92,2.46E-06,1.24E-05,,
93,2.39E-06,1.29E-05,,
94,2.28E-06,1.33E-05,,
95,2.27E-06,1.38E-05,,
96,2.19E-06,1.43E-05,,
97,2.12E-06,1.47E-05,,
98,2.05E-06,1.55E-05,,
99,2.03E-06,1.60E-05,,
100,1.91E-06,1.64E-05,,
101,1.83E-06,1.70E-05,,
102,1.78E-06,1.75E-05,,
103,1.72E-06,1.82E-05,,
104,1.70E-06,1.90E-05,,
105,1.64E-06,1.96E-05,,
106,1.60E-06,2.04E-05,,
107,1.56E-06,2.13E-05,,
108,1.54E-06,2.22E-05,,
109,1.45E-06,2.30E-05,,
110,1.41E-06,2.38E-05,,
111,1.39E-06,2.49E-05,,
112,1.33E-06,2.56E-05,,
113,1.31E-06,2.67E-05,,
114,1.27E-06,2.78E-05,,
115,1.21E-06,2.88E-05,,
116,1.23E-06,3.01E-05,,
117,1.12E-06,3.11E-05,,
118,1.11E-06,3.23E-05,,
119,1.05E-06,3.37E-05,,
120,1.09E-06,3.50E-05,,
121,9.92E-07,3.64E-05,,
122,9.89E-07,3.78E-05,,
123,9.69E-07,3.94E-05,,
124,9.20E-07,4.09E-05,,
125,9.03E-07,4.22E-05,,
126,8.93E-07,4.38E-05,,
127,8.37E-07,4.54E-05,,
128,7.98E-07,4.72E-05,,
