pixel,reflectance1,reflectance2,absorption1,absorption2,,,,,,,,,
118,5.62E-07,3.23E-05,,,,,,,,,,,
119,5.37E-07,3.37E-05,,,,,,,,,,,
120,5.19E-07,3.53E-05,,,,,,,,,,,
121,5.22E-07,3.69E-05,,,,,,,,,,,
122,4.40E-07,3.86E-05,,,,,,,,,,,
123,4.96E-07,4.08E-05,,,,,,,,,,,
124,4.71E-07,4.26E-05,,,,,,,,,,,
125,5.00E-07,4.44E-05,,,,,,,,,,,
126,4.39E-07,4.65E-05,,,,,,,,,,,
127,4.19E-07,4.85E-05,,,,,,,,,,,
128,4.05E-07,5.05E-05,,,,,,,,,,,
