pixel,reflectance1,reflectance2,absorption1,absorption2
1,8.35E-05,1.41E-06,,
2,8.01E-05,1.49E-06,,
3,7.71E-05,1.53E-06,,
4,7.47E-05,1.52E-06,,
5,7.18E-05,1.60E-06,,
6,6.92E-05,1.60E-06,,
7,6.66E-05,1.70E-06,,
8,6.41E-05,1.69E-06,,
9,6.15E-05,1.67E-06,,
10,5.91E-05,1.78E-06,,
11,5.69E-05,1.77E-06,,
12,5.46E-05,1.76E-06,,
13,5.29E-05,1.85E-06,,
14,5.07E-05,1.90E-06,,
15,4.90E-05,1.99E-06,,
16,4.70E-05,1.98E-06,,
17,4.52E-05,2.01E-06,,
18,4.37E-05,2.16E-06,,
19,4.21E-05,2.21E-06,,
20,4.04E-05,2.22E-06,,
21,3.93E-05,2.35E-06,,
22,3.75E-05,2.28E-06,,
23,3.62E-05,2.44E-06,,
24,3.50E-05,2.39E-06,,
25,3.37E-05,2.47E-06,,
26,3.25E-05,2.59E-06,,
27,3.13E-05,2.68E-06,,
28,3.00E-05,2.72E-06,,
29,2.93E-05,2.75E-06,,
30,2.82E-05,2.83E-06,,
31,2.72E-05,2.97E-06,,
32,2.63E-05,3.04E-06,,
33,2.52E-05,3.10E-06,,
34,2.42E-05,3.22E-06,,
35,2.38E-05,3.35E-06,,
36,2.27E-05,3.36E-06,,
37,2.21E-05,3.49E-06,,
38,2.15E-05,3.65E-06,,
39,2.10E-05,3.73E-06,,
40,1.99E-05,3.81E-06,,
41,1.92E-05,3.83E-06,,
42,1.86E-05,3.96E-06,,
43,1.80E-05,4.11E-06,,
44,1.73E-05,4.16E-06,,
45,1.68E-05,4.31E-06,,
46,1.63E-05,4.39E-06,,
47,1.57E-05,4.64E-06,,
48,1.53E-05,4.74E-06,,
49,1.48E-05,4.92E-06,,
50,1.43E-05,5.05E-06,,
51,1.38E-05,5.18E-06,,
52,1.35E-05,5.45E-06,,
53,1.30E-05,5.42E-06,,
54,1.26E-05,5.70E-06,,
55,1.22E-05,5.80E-06,,
56,1.19E-05,5.95E-06,,
57,1.16E-05,6.17E-06,,
58,1.11E-05,6.28E-06,,
59,1.08E-05,6.54E-06,,
60,1.04E-05,6.74E-06,,
61,1.01E-05,7.02E-06,,
62,9.79E-06,7.09E-06,,
63,9.73E-06,7.41E-06,,
64,9.20E-06,7.56E-06,,
65,8.95E-06,7.86E-06,,
66,8.70E-06,8.10E-06,,
67,8.34E-06,8.39E-06,,
68,8.19E-06,8.59E-06,,
69,7.88E-06,8.84E-06,,
70,7.67E-06,9.11E-06,,
71,7.46E-06,9.44E-06,,
72,7.13E-06,9.69E-06,,
73,7.06E-06,1.00E-05,,
74,6.77E-06,1.03E-05,,
75,6.61E-06,1.06E-05,,
76,6.41E-06,1.09E-05,,
77,6.28E-06,1.14E-05,,
78,6.11E-06,1.16E-05,,
79,5.85E-06,1.20E-05,,
80,5.70E-06,1.24E-05,,
81,5.52E-06,1.27E-05,,
82,5.40E-06,1.32E-05,,
83,5.23E-06,1.36E-05,,
84,5.12E-06,1.41E-05,,
85,4.97E-06,1.47E-05,,
86,4.89E-06,1.51E-05,,
87,4.73E-06,1.55E-05,,
88,4.55E-06,1.59E-05,,
89,4.46E-06,1.66E-05,,
90,4.33E-06,1.72E-05,,
91,4.24E-06,1.77E-05,,
92,4.11E-06,1.83E-05,,
93,3.96E-06,1.89E-05,,
94,3.88E-06,1.95E-05,,
95,3.77E-06,2.01E-05,,
96,3.64E-06,2.10E-05,,
97,3.59E-06,2.14E-05,,
98,3.54E-06,2.26E-05,,
99,3.36E-06,2.34E-05,,
100,3.32E-06,2.42E-05,,
101,3.17E-06,2.48E-05,,
102,3.12E-06,2.56E-05,,
103,3.01E-06,2.65E-05,,
104,2.94E-06,2.75E-05,,
105,2.87E-06,2.85E-05,,
106,2.80E-06,2.95E-05,,
107,2.72E-06,3.08E-05,,
108,2.69E-06,3.22E-05,,
109,2.55E-06,3.32E-05,,
110,2.47E-06,3.44E-05,,
111,2.55E-06,3.60E-05,,
112,2.40E-06,3.73E-05,,
113,2.33E-06,3.85E-05,,
114,2.27E-06,3.99E-05,,
115,2.22E-06,4.14E-05,,
116,2.14E-06,4.31E-05,,
117,2.07E-06,4.47E-05,,
118,1.99E-06,4.63E-05,,
119,2.00E-06,4.82E-05,,
120,1.91E-06,5.01E-05,,
121,1.91E-06,5.20E-05,,
122,1.89E-06,5.42E-05,,
123,1.76E-06,5.63E-05,,
124,1.76E-06,5.84E-05,,
125,1.66E-06,6.05E-05,,
126,1.65E-06,6.27E-05,,
127,1.65E-06,6.52E-05,,
128,1.57E-06,6.76E-05,,
