pixel,reflectance1,reflectance2,absorption1,absorption2
1,3.22E-05,8.23E-08,,
2,3.07E-05,4.07E-08,,
3,2.91E-05,7.98E-08,,
4,2.76E-05,4.32E-08,,
5,2.63E-05,1.27E-07,,
6,2.48E-05,6.48E-08,,
7,2.35E-05,7.40E-08,,
8,2.23E-05,7.98E-08,,
9,2.10E-05,8.23E-08,,
10,1.99E-05,1.50E-07,,
11,1.88E-05,1.23E-07,,
12,1.78E-05,1.25E-07,,
13,1.68E-05,9.31E-08,,
14,1.58E-05,1.38E-07,,
15,1.50E-05,1.40E-07,,
16,1.41E-05,1.16E-07,,
17,1.34E-05,1.55E-07,,
18,1.27E-05,1.46E-07,,
19,1.20E-05,1.81E-07,,
20,1.14E-05,1.62E-07,,
21,1.09E-05,2.14E-07,,
22,1.02E-05,2.09E-07,,
23,9.69E-06,2.08E-07,,
24,9.16E-06,2.11E-07,,
25,8.70E-06,2.43E-07,,
26,8.28E-06,2.68E-07,,
27,7.81E-06,2.58E-07,,
28,7.40E-06,2.69E-07,,
29,7.05E-06,2.95E-07,,
30,6.69E-06,2.97E-07,,
31,6.29E-06,2.83E-07,,
32,6.01E-06,3.03E-07,,
33,5.70E-06,3.22E-07,,
34,5.33E-06,3.42E-07,,
35,5.13E-06,3.43E-07,,
36,4.87E-06,3.77E-07,,
37,4.60E-06,3.79E-07,,
38,4.37E-06,3.37E-07,,
39,4.24E-06,4.41E-07,,
40,3.93E-06,4.39E-07,,
41,3.74E-06,4.28E-07,,
42,3.52E-06,4.70E-07,,
43,3.37E-06,4.94E-07,,
44,3.19E-06,5.25E-07,,
45,3.05E-06,5.28E-07,,
46,2.89E-06,5.74E-07,,
47,2.80E-06,5.72E-07,,
48,2.59E-06,6.12E-07,,
49,2.52E-06,6.82E-07,,
50,2.37E-06,6.58E-07,,
51,2.25E-06,7.11E-07,,
52,2.18E-06,7.26E-07,,
53,2.03E-06,7.22E-07,,
54,1.94E-06,7.48E-07,,
55,1.86E-06,8.34E-07,,
56,1.77E-06,8.67E-07,,
57,1.68E-06,9.14E-07,,
58,1.59E-06,9.17E-07,,
59,1.53E-06,9.54E-07,,
60,1.47E-06,1.03E-06,,
61,1.38E-06,1.02E-06,,
62,1.34E-06,1.12E-06,,
63,1.27E-06,1.13E-06,,
64,1.21E-06,1.19E-06,,
65,1.19E-06,1.29E-06,,
66,1.11E-06,1.38E-06,,
67,1.05E-06,1.37E-06,,
68,1.02E-06,1.47E-06,,
69,9.59E-07,1.55E-06,,
70,8.85E-07,1.56E-06,,
71,8.87E-07,1.69E-06,,
72,8.28E-07,1.77E-06,,
73,7.93E-07,1.87E-06,,
74,7.54E-07,1.94E-06,,
75,7.56E-07,2.04E-06,,
76,6.95E-07,2.15E-06,,
77,6.74E-07,2.25E-06,,
78,6.29E-07,2.35E-06,,
79,6.21E-07,2.48E-06,,
80,5.72E-07,2.62E-06,,
81,5.47E-07,2.73E-06,,
82,5.35E-07,2.89E-06,,
83,5.19E-07,2.98E-06,,
84,5.10E-07,3.26E-06,,
85,4.65E-07,3.34E-06,,
86,4.63E-07,3.53E-06,,
87,4.48E-07,3.67E-06,,
88,4.41E-07,3.89E-06,,
89,3.79E-07,4.12E-06,,
90,4.03E-07,4.30E-06,,
91,3.73E-07,4.52E-06,,
92,3.54E-07,4.77E-06,,
93,3.32E-07,4.99E-06,,
94,3.36E-07,5.19E-06,,
95,3.25E-07,5.51E-06,,
96,3.55E-07,5.84E-06,,
97,2.83E-07,6.12E-06,,
98,2.97E-07,6.55E-06,,
99,2.69E-07,6.82E-06,,
100,2.53E-07,7.15E-06,,
101,2.73E-07,7.57E-06,,
102,2.23E-07,7.92E-06,,
103,2.49E-07,8.37E-06,,
104,2.40E-07,8.87E-06,,
105,2.22E-07,9.35E-06,,
106,1.98E-07,9.84E-06,,
107,1.94E-07,1.05E-05,,
108,1.89E-07,1.11E-05,,
109,1.82E-07,1.17E-05,,
110,1.78E-07,1.24E-05,,
111,1.66E-07,1.32E-05,,
112,1.82E-07,1.38E-05,,
113,1.51E-07,1.47E-05,,
114,1.43E-07,1.54E-05,,
115,1.77E-07,1.64E-05,,
116,1.37E-07,1.73E-05,,
117,1.34E-07,1.84E-05,,
118,1.13E-07,1.95E-05,,
119,1.54E-07,2.06E-05,,
120,1.38E-07,2.17E-05,,
121,1.26E-07,2.30E-05,,
122,1.30E-07,2.44E-05,,
123,1.11E-07,2.58E-05,,
124,1.09E-07,2.71E-05,,
125,1.06E-07,2.86E-05,,
126,1.27E-07,3.01E-05,,
127,7.28E-08,3.17E-05,,
128,9.28E-08,3.34E-05,,
