pixel,reflectance1,reflectance2,absorption1,absorption2
1,2.89E-05,6.66E-08,,
2,2.76E-05,4.68E-08,,
3,2.63E-05,3.97E-08,,
4,2.52E-05,8.22E-08,,
5,2.40E-05,9.57E-08,,
6,2.27E-05,7.51E-08,,
7,2.16E-05,7.51E-08,,
8,2.05E-05,6.45E-08,,
9,1.94E-05,5.74E-08,,
10,1.84E-05,9.00E-08,,
11,1.76E-05,8.79E-08,,
12,1.66E-05,8.93E-08,,
13,1.57E-05,1.16E-07,,
14,1.49E-05,1.16E-07,,
15,1.42E-05,1.04E-07,,
16,1.34E-05,1.06E-07,,
17,1.28E-05,1.60E-07,,
18,1.21E-05,1.33E-07,,
19,1.15E-05,1.16E-07,,
20,1.10E-05,1.52E-07,,
21,1.05E-05,1.76E-07,,
22,9.91E-06,1.82E-07,,
23,9.37E-06,1.82E-07,,
24,8.92E-06,1.88E-07,,
25,8.49E-06,1.80E-07,,
26,8.07E-06,2.06E-07,,
27,7.64E-06,1.66E-07,,
28,7.24E-06,2.08E-07,,
29,6.97E-06,2.39E-07,,
30,6.65E-06,2.35E-07,,
31,6.31E-06,2.74E-07,,
32,6.01E-06,2.64E-07,,
33,5.72E-06,2.79E-07,,
34,5.41E-06,2.81E-07,,
35,5.18E-06,2.91E-07,,
36,4.92E-06,3.08E-07,,
37,4.69E-06,3.08E-07,,
38,4.47E-06,3.61E-07,,
39,4.34E-06,3.42E-07,,
40,4.02E-06,3.88E-07,,
41,3.83E-06,3.91E-07,,
42,3.67E-06,3.99E-07,,
43,3.51E-06,4.24E-07,,
44,3.35E-06,4.56E-07,,
45,3.19E-06,4.44E-07,,
46,3.07E-06,5.15E-07,,
47,2.92E-06,5.07E-07,,
48,2.82E-06,5.69E-07,,
49,2.71E-06,5.43E-07,,
50,2.56E-06,5.78E-07,,
51,2.48E-06,6.07E-07,,
52,2.35E-06,6.34E-07,,
53,2.28E-06,6.66E-07,,
54,2.16E-06,7.06E-07,,
55,2.09E-06,7.07E-07,,
56,1.99E-06,7.54E-07,,
57,1.93E-06,7.97E-07,,
58,1.82E-06,7.80E-07,,
59,1.77E-06,8.54E-07,,
60,1.69E-06,9.11E-07,,
61,1.60E-06,9.26E-07,,
62,1.57E-06,9.69E-07,,
63,1.50E-06,1.04E-06,,
64,1.43E-06,1.09E-06,,
65,1.37E-06,1.10E-06,,
66,1.30E-06,1.16E-06,,
67,1.28E-06,1.24E-06,,
68,1.22E-06,1.24E-06,,
69,1.20E-06,1.33E-06,,
70,1.12E-06,1.37E-06,,
71,1.09E-06,1.43E-06,,
72,1.04E-06,1.52E-06,,
73,1.03E-06,1.59E-06,,
74,9.42E-07,1.61E-06,,
75,9.21E-07,1.72E-06,,
76,8.94E-07,1.78E-06,,
77,8.66E-07,1.88E-06,,
78,8.36E-07,1.96E-06,,
79,7.93E-07,2.06E-06,,
80,7.43E-07,2.13E-06,,
81,7.18E-07,2.26E-06,,
82,6.89E-07,2.31E-06,,
83,6.70E-07,2.49E-06,,
84,6.48E-07,2.57E-06,,
85,6.20E-07,2.72E-06,,
86,5.75E-07,2.86E-06,,
87,5.77E-07,2.97E-06,,
88,5.44E-07,3.07E-06,,
89,5.30E-07,3.22E-06,,
90,5.17E-07,3.45E-06,,
91,4.98E-07,3.60E-06,,
92,4.80E-07,3.76E-06,,
93,4.59E-07,3.94E-06,,
94,4.32E-07,4.14E-06,,
95,4.16E-07,4.28E-06,,
96,3.93E-07,4.54E-06,,
97,4.06E-07,4.79E-06,,
98,3.81E-07,5.08E-06,,
99,3.48E-07,5.31E-06,,
100,3.53E-07,5.51E-06,,
101,3.46E-07,5.82E-06,,
102,3.13E-07,6.06E-06,,
103,3.19E-07,6.44E-06,,
104,3.03E-07,6.74E-06,,
105,2.66E-07,7.05E-06,,
106,2.84E-07,7.47E-06,,
107,2.94E-07,7.90E-06,,
108,2.61E-07,8.37E-06,,
109,2.53E-07,8.69E-06,,
110,2.25E-07,9.14E-06,,
111,2.31E-07,9.76E-06,,
112,2.11E-07,1.01E-05,,
113,2.17E-07,1.06E-05,,
114,1.98E-07,1.13E-05,,
115,1.94E-07,1.18E-05,,
116,1.83E-07,1.24E-05,,
117,1.95E-07,1.31E-05,,
118,1.72E-07,1.38E-05,,
119,1.56E-07,1.45E-05,,
120,1.46E-07,1.52E-05,,
121,1.21E-07,1.59E-05,,
122,1.53E-07,1.68E-05,,
123,1.36E-07,1.77E-05,,
124,1.28E-07,1.86E-05,,
125,1.43E-07,1.95E-05,,
126,1.22E-07,2.04E-05,,
127,1.16E-07,2.14E-05,,
128,1.10E-07,2.23E-05,,
