pixel,reflectance1,reflectance2,absorption1,absorption2
1,6.66E-05,7.05E-07,,
2,6.47E-05,7.79E-07,,
3,6.24E-05,7.50E-07,,
4,6.04E-05,7.68E-07,,
5,5.80E-05,8.27E-07,,
6,5.56E-05,7.50E-07,,
7,5.34E-05,9.62E-07,,
8,5.14E-05,8.63E-07,,
9,4.92E-05,8.76E-07,,
10,4.73E-05,9.73E-07,,
11,4.54E-05,9.51E-07,,
12,4.34E-05,9.90E-07,,
13,4.17E-05,1.07E-06,,
14,4.00E-05,1.03E-06,,
15,3.85E-05,1.05E-06,,
16,3.69E-05,1.17E-06,,
17,3.55E-05,1.17E-06,,
18,3.41E-05,1.12E-06,,
19,3.28E-05,1.20E-06,,
20,3.15E-05,1.26E-06,,
21,3.04E-05,1.30E-06,,
22,2.91E-05,1.35E-06,,
23,2.80E-05,1.33E-06,,
24,2.69E-05,1.37E-06,,
25,2.58E-05,1.47E-06,,
26,2.49E-05,1.51E-06,,
27,2.40E-05,1.66E-06,,
28,2.30E-05,1.62E-06,,
29,2.23E-05,1.65E-06,,
30,2.16E-05,1.75E-06,,
31,2.07E-05,1.73E-06,,
32,1.99E-05,1.85E-06,,
33,1.92E-05,1.86E-06,,
34,1.85E-05,1.94E-06,,
35,1.79E-05,2.02E-06,,
36,1.72E-05,2.07E-06,,
37,1.67E-05,2.13E-06,,
38,1.61E-05,2.26E-06,,
39,1.59E-05,2.43E-06,,
40,1.48E-05,2.32E-06,,
41,1.43E-05,2.41E-06,,
42,1.38E-05,2.43E-06,,
43,1.32E-05,2.46E-06,,
44,1.29E-05,2.69E-06,,
45,1.25E-05,2.71E-06,,
46,1.21E-05,2.80E-06,,
47,1.17E-05,2.90E-06,,
48,1.13E-05,2.97E-06,,
49,1.09E-05,3.02E-06,,
50,1.06E-05,3.19E-06,,
51,1.01E-05,3.24E-06,,
52,9.82E-06,3.31E-06,,
53,9.61E-06,3.48E-06,,
54,9.28E-06,3.60E-06,,
55,8.94E-06,3.70E-06,,
56,8.75E-06,3.88E-06,,
57,8.40E-06,3.90E-06,,
58,8.21E-06,4.07E-06,,
59,7.80E-06,4.15E-06,,
60,7.72E-06,4.34E-06,,
61,7.42E-06,4.46E-06,,
62,7.13E-06,4.64E-06,,
63,7.02E-06,4.76E-06,,
64,6.78E-06,4.94E-06,,
65,6.52E-06,5.04E-06,,
66,6.39E-06,5.25E-06,,
67,6.12E-06,5.40E-06,,
68,5.96E-06,5.45E-06,,
69,5.80E-06,5.72E-06,,
70,5.60E-06,5.92E-06,,
71,5.43E-06,6.14E-06,,
72,5.31E-06,6.43E-06,,
73,5.15E-06,6.51E-06,,
74,4.97E-06,6.74E-06,,
75,4.83E-06,6.98E-06,,
76,4.66E-06,7.19E-06,,
77,4.55E-06,7.48E-06,,
78,4.38E-06,7.74E-06,,
79,4.29E-06,7.96E-06,,
80,4.13E-06,8.20E-06,,
81,4.07E-06,8.53E-06,,
82,3.90E-06,8.73E-06,,
83,3.85E-06,9.14E-06,,
84,3.70E-06,9.55E-06,,
85,3.56E-06,9.80E-06,,
86,3.47E-06,1.02E-05,,
87,3.42E-06,1.05E-05,,
88,3.26E-06,1.09E-05,,
89,3.17E-06,1.13E-05,,
90,3.10E-06,1.18E-05,,
91,2.99E-06,1.22E-05,,
92,2.95E-06,1.26E-05,,
93,2.83E-06,1.32E-05,,
94,2.79E-06,1.37E-05,,
95,2.60E-06,1.41E-05,,
96,2.63E-06,1.47E-05,,
97,2.55E-06,1.53E-05,,
98,2.54E-06,1.61E-05,,
99,2.41E-06,1.66E-05,,
100,2.35E-06,1.72E-05,,
101,2.22E-06,1.78E-05,,
102,2.16E-06,1.84E-05,,
103,2.21E-06,1.93E-05,,
104,2.03E-06,2.00E-05,,
105,1.99E-06,2.07E-05,,
106,1.98E-06,2.16E-05,,
107,1.88E-06,2.26E-05,,
108,1.87E-06,2.36E-05,,
109,1.81E-06,2.46E-05,,
110,1.80E-06,2.55E-05,,
111,1.76E-06,2.68E-05,,
112,1.71E-06,2.78E-05,,
113,1.69E-06,2.91E-05,,
114,1.59E-06,3.01E-05,,
115,1.55E-06,3.14E-05,,
116,1.51E-06,3.28E-05,,
117,1.43E-06,3.41E-05,,
118,1.41E-06,3.56E-05,,
119,1.37E-06,3.72E-05,,
120,1.31E-06,3.88E-05,,
121,1.27E-06,4.05E-05,,
122,1.24E-06,4.21E-05,,
123,1.28E-06,4.42E-05,,
124,1.20E-06,4.61E-05,,
125,1.15E-06,4.77E-05,,
126,1.10E-06,4.94E-05,,
127,1.10E-06,5.16E-05,,
128,1.06E-06,5.36E-05,,
