pixel,reflectance1,reflectance2,absorption1,absorption2
1,5.23E-05,4.93E-07,,
2,5.05E-05,4.87E-07,,
3,4.78E-05,5.27E-07,,
4,4.62E-05,5.69E-07,,
5,4.44E-05,5.88E-07,,
6,4.26E-05,6.02E-07,,
7,4.10E-05,6.13E-07,,
8,3.94E-05,6.44E-07,,
9,3.78E-05,6.15E-07,,
10,3.64E-05,7.00E-07,,
11,3.50E-05,6.88E-07,,
12,3.35E-05,7.27E-07,,
13,3.22E-05,7.16E-07,,
14,3.09E-05,7.70E-07,,
15,2.96E-05,7.69E-07,,
16,2.84E-05,8.23E-07,,
17,2.73E-05,8.26E-07,,
18,2.63E-05,8.68E-07,,
19,2.52E-05,8.59E-07,,
20,2.42E-05,8.85E-07,,
21,2.33E-05,9.56E-07,,
22,2.23E-05,9.17E-07,,
23,2.14E-05,9.90E-07,,
24,2.06E-05,1.01E-06,,
25,1.98E-05,1.04E-06,,
26,1.91E-05,1.03E-06,,
27,1.83E-05,1.11E-06,,
28,1.76E-05,1.14E-06,,
29,1.70E-05,1.19E-06,,
30,1.63E-05,1.23E-06,,
31,1.57E-05,1.24E-06,,
32,1.52E-05,1.30E-06,,
33,1.45E-05,1.27E-06,,
34,1.39E-05,1.34E-06,,
35,1.35E-05,1.38E-06,,
36,1.29E-05,1.42E-06,,
37,1.24E-05,1.49E-06,,
38,1.20E-05,1.54E-06,,
39,1.18E-05,1.64E-06,,
40,1.10E-05,1.67E-06,,
41,1.06E-05,1.66E-06,,
42,1.02E-05,1.74E-06,,
43,9.80E-06,1.76E-06,,
44,9.50E-06,1.87E-06,,
45,9.11E-06,1.90E-06,,
46,8.77E-06,2.01E-06,,
47,8.49E-06,2.04E-06,,
48,8.19E-06,2.08E-06,,
49,7.90E-06,2.11E-06,,
50,7.63E-06,2.25E-06,,
51,7.33E-06,2.30E-06,,
52,7.06E-06,2.33E-06,,
53,6.85E-06,2.43E-06,,
54,6.61E-06,2.59E-06,,
55,6.34E-06,2.63E-06,,
56,6.17E-06,2.69E-06,,
57,5.89E-06,2.81E-06,,
58,5.76E-06,2.86E-06,,
59,5.53E-06,2.99E-06,,
60,5.31E-06,3.03E-06,,
61,5.14E-06,3.21E-06,,
62,4.96E-06,3.30E-06,,
63,4.90E-06,3.44E-06,,
64,4.63E-06,3.54E-06,,
65,4.42E-06,3.59E-06,,
66,4.36E-06,3.81E-06,,
67,4.21E-06,3.87E-06,,
68,4.04E-06,4.04E-06,,
69,3.95E-06,4.18E-06,,
70,3.78E-06,4.28E-06,,
71,3.65E-06,4.45E-06,,
72,3.55E-06,4.60E-06,,
73,3.38E-06,4.77E-06,,
74,3.28E-06,4.91E-06,,
75,3.17E-06,5.07E-06,,
76,3.11E-06,5.35E-06,,
77,2.95E-06,5.47E-06,,
78,2.87E-06,5.70E-06,,
79,2.71E-06,5.85E-06,,
80,2.67E-06,6.14E-06,,
81,2.54E-06,6.31E-06,,
82,2.51E-06,6.63E-06,,
83,2.38E-06,6.75E-06,,
84,2.35E-06,7.07E-06,,
85,2.25E-06,7.34E-06,,
86,2.14E-06,7.64E-06,,
87,2.08E-06,7.86E-06,,
88,2.04E-06,8.23E-06,,
89,1.93E-06,8.59E-06,,
90,1.91E-06,8.89E-06,,
91,1.84E-06,9.20E-06,,
92,1.77E-06,9.60E-06,,
93,1.74E-06,9.99E-06,,
94,1.64E-06,1.03E-05,,
95,1.58E-06,1.08E-05,,
96,1.57E-06,1.12E-05,,
97,1.53E-06,1.16E-05,,
98,1.49E-06,1.22E-05,,
99,1.42E-06,1.28E-05,,
100,1.34E-06,1.32E-05,,
101,1.29E-06,1.37E-05,,
102,1.26E-06,1.42E-05,,
103,1.24E-06,1.48E-05,,
104,1.22E-06,1.55E-05,,
105,1.16E-06,1.61E-05,,
106,1.15E-06,1.68E-05,,
107,1.11E-06,1.75E-05,,
108,1.09E-06,1.84E-05,,
109,1.01E-06,1.92E-05,,
110,1.01E-06,1.99E-05,,
111,9.56E-07,2.09E-05,,
112,9.16E-07,2.16E-05,,
113,9.20E-07,2.27E-05,,
114,8.74E-07,2.35E-05,,
115,8.72E-07,2.45E-05,,
116,8.19E-07,2.56E-05,,
117,8.22E-07,2.68E-05,,
118,7.83E-07,2.79E-05,,
119,7.79E-07,2.91E-05,,
120,7.58E-07,3.04E-05,,
121,7.29E-07,3.18E-05,,
122,7.11E-07,3.33E-05,,
123,6.94E-07,3.48E-05,,
124,6.33E-07,3.63E-05,,
125,6.43E-07,3.77E-05,,
126,6.57E-07,3.92E-05,,
127,5.63E-07,4.09E-05,,
128,5.69E-07,4.25E-05,,
