pixel,reflectance1,reflectance2,absorption1,absorption2
1,8.48E-05,1.07E-06,,
2,8.14E-05,1.11E-06,,
3,7.81E-05,1.19E-06,,
4,7.55E-05,1.16E-06,,
5,7.26E-05,1.26E-06,,
6,7.00E-05,1.15E-06,,
7,6.77E-05,1.30E-06,,
8,6.53E-05,1.41E-06,,
9,6.24E-05,1.42E-06,,
10,6.02E-05,1.46E-06,,
11,5.81E-05,1.54E-06,,
12,5.58E-05,1.58E-06,,
13,5.35E-05,1.62E-06,,
14,5.15E-05,1.56E-06,,
15,4.97E-05,1.71E-06,,
16,4.78E-05,1.70E-06,,
17,4.57E-05,1.73E-06,,
18,4.43E-05,1.78E-06,,
19,4.28E-05,1.88E-06,,
20,4.09E-05,1.87E-06,,
21,3.94E-05,2.03E-06,,
22,3.80E-05,2.09E-06,,
23,3.66E-05,2.12E-06,,
24,3.51E-05,2.09E-06,,
25,3.36E-05,2.08E-06,,
26,3.26E-05,2.34E-06,,
27,3.13E-05,2.43E-06,,
28,3.01E-05,2.33E-06,,
29,2.91E-05,2.53E-06,,
30,2.80E-05,2.50E-06,,
31,2.69E-05,2.69E-06,,
32,2.58E-05,2.70E-06,,
33,2.49E-05,2.81E-06,,
34,2.39E-05,2.85E-06,,
35,2.34E-05,3.05E-06,,
36,2.22E-05,3.01E-06,,
37,2.16E-05,3.20E-06,,
38,2.09E-05,3.16E-06,,
39,2.05E-05,3.38E-06,,
40,1.91E-05,3.32E-06,,
41,1.85E-05,3.53E-06,,
42,1.78E-05,3.61E-06,,
43,1.72E-05,3.73E-06,,
44,1.66E-05,3.89E-06,,
45,1.59E-05,3.88E-06,,
46,1.55E-05,4.11E-06,,
47,1.49E-05,4.17E-06,,
48,1.44E-05,4.25E-06,,
49,1.40E-05,4.45E-06,,
50,1.34E-05,4.58E-06,,
51,1.30E-05,4.74E-06,,
52,1.27E-05,4.80E-06,,
53,1.23E-05,5.11E-06,,
54,1.18E-05,5.25E-06,,
55,1.14E-05,5.30E-06,,
56,1.10E-05,5.49E-06,,
57,1.06E-05,5.60E-06,,
58,1.03E-05,5.76E-06,,
59,1.01E-05,5.98E-06,,
60,9.72E-06,6.14E-06,,
61,9.32E-06,6.36E-06,,
62,9.05E-06,6.55E-06,,
63,8.78E-06,6.77E-06,,
64,8.47E-06,7.00E-06,,
65,8.15E-06,6.98E-06,,
66,7.97E-06,7.44E-06,,
67,7.69E-06,7.67E-06,,
68,7.44E-06,7.82E-06,,
69,7.18E-06,8.05E-06,,
70,6.98E-06,8.35E-06,,
71,6.62E-06,8.51E-06,,
72,6.43E-06,8.79E-06,,
73,6.29E-06,9.09E-06,,
74,6.01E-06,9.26E-06,,
75,5.95E-06,9.69E-06,,
76,5.69E-06,9.96E-06,,
77,5.54E-06,1.03E-05,,
78,5.43E-06,1.06E-05,,
79,5.17E-06,1.10E-05,,
80,5.11E-06,1.14E-05,,
81,4.93E-06,1.17E-05,,
82,4.71E-06,1.22E-05,,
83,4.53E-06,1.24E-05,,
84,4.48E-06,1.31E-05,,
85,4.42E-06,1.35E-05,,
86,4.21E-06,1.40E-05,,
87,4.16E-06,1.45E-05,,
88,4.03E-06,1.50E-05,,
89,3.77E-06,1.56E-05,,
90,3.73E-06,1.63E-05,,
91,3.60E-06,1.66E-05,,
92,3.58E-06,1.73E-05,,
93,3.46E-06,1.79E-05,,
94,3.35E-06,1.84E-05,,
95,3.28E-06,1.92E-05,,
96,3.16E-06,1.98E-05,,
97,3.09E-06,2.06E-05,,
98,3.00E-06,2.17E-05,,
99,2.92E-06,2.23E-05,,
100,2.81E-06,2.31E-05,,
101,2.68E-06,2.38E-05,,
102,2.60E-06,2.47E-05,,
103,2.58E-06,2.58E-05,,
104,2.50E-06,2.69E-05,,
105,2.39E-06,2.76E-05,,
106,2.33E-06,2.88E-05,,
107,2.36E-06,3.02E-05,,
108,2.19E-06,3.13E-05,,
109,2.12E-06,3.25E-05,,
110,2.11E-06,3.38E-05,,
111,2.05E-06,3.55E-05,,
112,2.02E-06,3.69E-05,,
113,1.98E-06,3.84E-05,,
114,1.80E-06,3.98E-05,,
115,1.85E-06,4.15E-05,,
116,1.75E-06,4.32E-05,,
117,1.79E-06,4.51E-05,,
118,1.64E-06,4.69E-05,,
119,1.71E-06,4.91E-05,,
120,1.58E-06,5.08E-05,,
121,1.49E-06,5.31E-05,,
122,1.46E-06,5.54E-05,,
123,1.53E-06,5.79E-05,,
124,1.43E-06,5.99E-05,,
125,1.40E-06,6.26E-05,,
126,1.34E-06,6.49E-05,,
127,1.29E-06,6.74E-05,,
128,1.25E-06,7.01E-05,,
