pixel,reflectance1,reflectance2,absorption1,absorption2
1,6.19E-05,1.48E-06,,
2,5.91E-05,1.51E-06,,
3,5.70E-05,1.50E-06,,
4,5.54E-05,1.55E-06,,
5,5.32E-05,1.57E-06,,
6,5.11E-05,1.66E-06,,
7,4.95E-05,1.62E-06,,
8,4.76E-05,1.67E-06,,
9,4.59E-05,1.78E-06,,
10,4.42E-05,1.80E-06,,
11,4.26E-05,1.85E-06,,
12,4.10E-05,1.86E-06,,
13,3.96E-05,2.02E-06,,
14,3.81E-05,2.00E-06,,
15,3.70E-05,2.06E-06,,
16,3.56E-05,2.06E-06,,
17,3.43E-05,2.17E-06,,
18,3.33E-05,2.22E-06,,
19,3.22E-05,2.36E-06,,
20,3.12E-05,2.35E-06,,
21,3.02E-05,2.43E-06,,
22,2.90E-05,2.50E-06,,
23,2.80E-05,2.54E-06,,
24,2.74E-05,2.72E-06,,
25,2.64E-05,2.76E-06,,
26,2.55E-05,2.77E-06,,
27,2.47E-05,2.91E-06,,
28,2.37E-05,2.98E-06,,
29,2.32E-05,3.04E-06,,
30,2.25E-05,3.14E-06,,
31,2.16E-05,3.22E-06,,
32,2.10E-05,3.27E-06,,
33,2.04E-05,3.34E-06,,
34,1.96E-05,3.44E-06,,
35,1.92E-05,3.54E-06,,
36,1.84E-05,3.64E-06,,
37,1.79E-05,3.77E-06,,
38,1.73E-05,3.88E-06,,
39,1.72E-05,4.09E-06,,
40,1.62E-05,4.03E-06,,
41,1.56E-05,4.15E-06,,
42,1.50E-05,4.26E-06,,
43,1.45E-05,4.31E-06,,
44,1.42E-05,4.50E-06,,
45,1.37E-05,4.63E-06,,
46,1.33E-05,4.74E-06,,
47,1.28E-05,4.88E-06,,
48,1.24E-05,5.04E-06,,
49,1.21E-05,5.15E-06,,
50,1.17E-05,5.30E-06,,
51,1.13E-05,5.51E-06,,
52,1.10E-05,5.68E-06,,
53,1.07E-05,5.86E-06,,
54,1.04E-05,6.06E-06,,
55,1.01E-05,6.20E-06,,
56,9.77E-06,6.44E-06,,
57,9.49E-06,6.64E-06,,
58,9.22E-06,6.80E-06,,
59,8.96E-06,6.93E-06,,
60,8.75E-06,7.22E-06,,
61,8.42E-06,7.30E-06,,
62,8.14E-06,7.59E-06,,
63,8.04E-06,7.97E-06,,
64,7.76E-06,8.11E-06,,
65,7.59E-06,8.24E-06,,
66,7.35E-06,8.54E-06,,
67,7.17E-06,8.76E-06,,
68,6.95E-06,9.05E-06,,
69,6.72E-06,9.38E-06,,
70,6.53E-06,9.48E-06,,
71,6.37E-06,9.81E-06,,
72,6.14E-06,1.01E-05,,
73,5.97E-06,1.03E-05,,
74,5.78E-06,1.07E-05,,
75,5.65E-06,1.09E-05,,
76,5.48E-06,1.13E-05,,
77,5.36E-06,1.16E-05,,
78,5.23E-06,1.20E-05,,
79,5.05E-06,1.23E-05,,
80,4.93E-06,1.27E-05,,
81,4.77E-06,1.31E-05,,
82,4.59E-06,1.34E-05,,
83,4.45E-06,1.39E-05,,
84,4.41E-06,1.43E-05,,
85,4.23E-06,1.48E-05,,
86,4.12E-06,1.52E-05,,
87,3.98E-06,1.56E-05,,
88,3.93E-06,1.61E-05,,
89,3.78E-06,1.66E-05,,
90,3.68E-06,1.73E-05,,
91,3.58E-06,1.77E-05,,
92,3.46E-06,1.84E-05,,
93,3.39E-06,1.89E-05,,
94,3.34E-06,1.94E-05,,
95,3.20E-06,2.00E-05,,
96,3.09E-06,2.08E-05,,
97,3.02E-06,2.14E-05,,
98,3.04E-06,2.23E-05,,
99,2.89E-06,2.30E-05,,
100,2.77E-06,2.35E-05,,
101,2.72E-06,2.42E-05,,
102,2.68E-06,2.50E-05,,
103,2.60E-06,2.60E-05,,
104,2.52E-06,2.68E-05,,
105,2.48E-06,2.78E-05,,
106,2.38E-06,2.87E-05,,
107,2.40E-06,2.99E-05,,
108,2.32E-06,3.10E-05,,
109,2.21E-06,3.21E-05,,
110,2.18E-06,3.32E-05,,
111,2.20E-06,3.46E-05,,
112,2.11E-06,3.57E-05,,
113,2.08E-06,3.69E-05,,
114,2.03E-06,3.82E-05,,
115,1.93E-06,3.95E-05,,
116,1.89E-06,4.11E-05,,
117,1.82E-06,4.24E-05,,
118,1.82E-06,4.40E-05,,
119,1.77E-06,4.54E-05,,
120,1.76E-06,4.71E-05,,
121,1.67E-06,4.87E-05,,
122,1.64E-06,5.05E-05,,
123,1.60E-06,5.24E-05,,
124,1.60E-06,5.43E-05,,
125,1.54E-06,5.60E-05,,
126,1.41E-06,5.76E-05,,
127,1.49E-06,5.96E-05,,
128,1.42E-06,6.13E-05,,
