pixel,reflectance1,reflectance2,absorption1,absorption2
1,4.76E-05,1.88E-08,,
2,4.53E-05,4.28E-08,,
3,4.33E-05,1.08E-07,,
4,4.14E-05,7.70E-08,,
5,3.93E-05,5.82E-08,,
6,3.72E-05,2.22E-08,,
7,3.54E-05,1.52E-07,,
8,3.35E-05,1.20E-08,,
9,3.17E-05,9.92E-08,,
10,3.00E-05,1.23E-07,,
11,2.85E-05,7.19E-08,,
12,2.70E-05,1.15E-07,,
13,2.55E-05,1.64E-07,,
14,2.41E-05,1.11E-07,,
15,2.29E-05,1.16E-07,,
16,2.16E-05,1.30E-07,,
17,2.04E-05,1.52E-07,,
18,1.93E-05,1.73E-07,,
19,1.84E-05,1.25E-07,,
20,1.73E-05,1.66E-07,,
21,1.64E-05,1.27E-07,,
22,1.55E-05,1.39E-07,,
23,1.47E-05,1.83E-07,,
24,1.40E-05,1.63E-07,,
25,1.32E-05,1.73E-07,,
26,1.26E-05,2.02E-07,,
27,1.19E-05,2.19E-07,,
28,1.12E-05,2.79E-07,,
29,1.07E-05,2.72E-07,,
30,1.02E-05,2.99E-07,,
31,9.57E-06,2.45E-07,,
32,9.10E-06,3.01E-07,,
33,8.59E-06,3.40E-07,,
34,8.13E-06,3.23E-07,,
35,7.79E-06,4.69E-07,,
36,7.35E-06,4.19E-07,,
37,6.99E-06,4.28E-07,,
38,6.60E-06,3.42E-07,,
39,6.41E-06,4.40E-07,,
40,5.91E-06,5.15E-07,,
41,5.60E-06,5.13E-07,,
42,5.30E-06,5.41E-07,,
43,5.05E-06,6.28E-07,,
44,4.78E-06,6.83E-07,,
45,4.50E-06,6.42E-07,,
46,4.26E-06,7.24E-07,,
47,4.03E-06,8.52E-07,,
48,3.84E-06,9.55E-07,,
49,3.66E-06,1.18E-06,,
50,3.48E-06,1.33E-06,,
51,3.27E-06,1.47E-06,,
52,3.09E-06,1.57E-06,,
53,2.93E-06,1.77E-06,,
54,2.74E-06,1.92E-06,,
55,2.58E-06,2.31E-06,,
56,2.44E-06,2.43E-06,,
57,2.32E-06,2.73E-06,,
58,2.19E-06,3.10E-06,,
59,2.07E-06,3.35E-06,,
60,1.93E-06,3.71E-06,,
61,1.84E-06,4.13E-06,,
62,1.71E-06,4.38E-06,,
63,1.67E-06,4.67E-06,,
64,1.54E-06,5.18E-06,,
65,1.50E-06,5.56E-06,,
66,1.40E-06,6.08E-06,,
67,1.30E-06,6.51E-06,,
68,1.26E-06,6.92E-06,,
69,1.15E-06,7.39E-06,,
70,1.14E-06,7.96E-06,,
71,1.05E-06,8.42E-06,,
72,1.03E-06,9.08E-06,,
73,8.78E-07,9.72E-06,,
74,8.89E-07,1.03E-05,,
75,8.08E-07,1.08E-05,,
76,8.03E-07,1.17E-05,,
77,7.62E-07,1.25E-05,,
78,7.31E-07,1.33E-05,,
79,6.81E-07,1.41E-05,,
80,6.27E-07,1.49E-05,,
81,6.17E-07,1.57E-05,,
82,5.83E-07,1.68E-05,,
83,5.58E-07,1.77E-05,,
84,5.28E-07,1.88E-05,,
85,5.00E-07,1.98E-05,,
86,4.90E-07,2.08E-05,,
87,4.67E-07,2.19E-05,,
88,4.12E-07,2.30E-05,,
89,4.07E-07,2.43E-05,,
90,4.03E-07,2.59E-05,,
91,4.22E-07,2.73E-05,,
92,3.87E-07,2.83E-05,,
93,3.64E-07,2.99E-05,,
94,2.83E-07,3.12E-05,,
95,3.21E-07,3.28E-05,,
96,2.84E-07,3.44E-05,,
97,2.52E-07,3.60E-05,,
98,3.00E-07,3.83E-05,,
99,2.39E-07,4.02E-05,,
100,2.64E-07,4.15E-05,,
101,1.94E-07,4.32E-05,,
102,2.56E-07,4.50E-05,,
103,2.60E-07,4.74E-05,,
104,2.34E-07,4.92E-05,,
105,2.09E-07,5.12E-05,,
106,2.03E-07,5.36E-05,,
107,1.86E-07,5.61E-05,,
108,1.38E-07,5.85E-05,,
109,1.92E-07,6.09E-05,,
110,1.73E-07,6.32E-05,,
111,1.94E-07,6.59E-05,,
112,2.03E-07,6.80E-05,,
113,1.49E-07,7.07E-05,,
114,1.97E-07,7.31E-05,,
115,1.49E-07,7.56E-05,,
116,1.67E-07,7.85E-05,,
117,1.58E-07,8.13E-05,,
118,1.37E-07,8.41E-05,,
119,1.88E-07,8.70E-05,,
120,1.45E-07,8.98E-05,,
121,1.60E-07,9.26E-05,,
122,1.85E-07,9.60E-05,,
123,1.73E-07,0.000100056,,
124,1.29E-07,0.000103726,,
125,1.59E-07,0.000104116,,
126,1.29E-07,0.000104164,,
127,1.54E-07,0.000104289,,
128,1.39E-07,0.000104403,,
