pixel,reflectance1,reflectance2,absorption1,absorption2
1,8.47E-05,4.99E-07,,
2,8.49E-05,5.36E-07,,
3,8.14E-05,5.41E-07,,
4,7.65E-05,6.17E-07,,
5,7.31E-05,4.83E-07,,
6,7.03E-05,6.05E-07,,
7,6.76E-05,5.65E-07,,
8,6.49E-05,6.41E-07,,
9,6.19E-05,6.10E-07,,
10,5.94E-05,6.58E-07,,
11,5.73E-05,7.34E-07,,
12,5.46E-05,6.52E-07,,
13,5.23E-05,6.94E-07,,
14,5.03E-05,7.47E-07,,
15,4.84E-05,7.32E-07,,
16,4.63E-05,8.25E-07,,
17,4.44E-05,8.14E-07,,
18,4.28E-05,8.27E-07,,
19,4.11E-05,8.49E-07,,
20,3.93E-05,8.36E-07,,
21,3.80E-05,9.69E-07,,
22,3.63E-05,8.85E-07,,
23,3.50E-05,9.53E-07,,
24,3.37E-05,9.84E-07,,
25,3.23E-05,1.04E-06,,
26,3.12E-05,1.04E-06,,
27,3.00E-05,1.17E-06,,
28,2.88E-05,1.15E-06,,
29,2.79E-05,1.19E-06,,
30,2.70E-05,1.25E-06,,
31,2.58E-05,1.21E-06,,
32,2.49E-05,1.30E-06,,
33,2.39E-05,1.38E-06,,
34,2.30E-05,1.38E-06,,
35,2.23E-05,1.40E-06,,
36,2.14E-05,1.47E-06,,
37,2.07E-05,1.49E-06,,
38,2.01E-05,1.60E-06,,
39,1.98E-05,1.69E-06,,
40,1.84E-05,1.68E-06,,
41,1.78E-05,1.70E-06,,
42,1.72E-05,1.83E-06,,
43,1.66E-05,1.85E-06,,
44,1.61E-05,1.96E-06,,
45,1.54E-05,1.86E-06,,
46,1.49E-05,1.98E-06,,
47,1.45E-05,2.11E-06,,
48,1.40E-05,2.14E-06,,
49,1.34E-05,2.21E-06,,
50,1.30E-05,2.38E-06,,
51,1.26E-05,2.36E-06,,
52,1.21E-05,2.48E-06,,
53,1.17E-05,2.54E-06,,
54,1.12E-05,2.69E-06,,
55,1.09E-05,2.77E-06,,
56,1.05E-05,2.95E-06,,
57,1.02E-05,3.03E-06,,
58,9.82E-06,3.10E-06,,
59,9.46E-06,3.26E-06,,
60,9.16E-06,3.33E-06,,
61,8.83E-06,3.50E-06,,
62,8.45E-06,3.54E-06,,
63,8.30E-06,3.71E-06,,
64,7.97E-06,3.82E-06,,
65,7.70E-06,3.91E-06,,
66,7.43E-06,4.13E-06,,
67,7.20E-06,4.22E-06,,
68,6.99E-06,4.42E-06,,
69,6.73E-06,4.65E-06,,
70,6.54E-06,4.77E-06,,
71,6.27E-06,4.85E-06,,
72,6.17E-06,5.15E-06,,
73,5.92E-06,5.32E-06,,
74,5.74E-06,5.48E-06,,
75,5.44E-06,5.70E-06,,
76,5.40E-06,5.89E-06,,
77,5.20E-06,6.11E-06,,
78,5.05E-06,6.40E-06,,
79,4.85E-06,6.61E-06,,
80,4.69E-06,6.81E-06,,
81,4.54E-06,7.09E-06,,
82,4.32E-06,7.29E-06,,
83,4.26E-06,7.64E-06,,
84,4.18E-06,7.87E-06,,
85,4.06E-06,8.27E-06,,
86,3.87E-06,8.54E-06,,
87,3.73E-06,8.78E-06,,
88,3.57E-06,9.24E-06,,
89,3.43E-06,9.62E-06,,
90,3.48E-06,1.01E-05,,
91,3.26E-06,1.04E-05,,
92,3.15E-06,1.07E-05,,
93,3.03E-06,1.12E-05,,
94,2.89E-06,1.14E-05,,
95,2.85E-06,1.20E-05,,
96,2.76E-06,1.25E-05,,
97,2.64E-06,1.29E-05,,
98,2.50E-06,1.35E-05,,
99,2.46E-06,1.40E-05,,
100,2.31E-06,1.44E-05,,
101,2.27E-06,1.49E-05,,
102,2.17E-06,1.55E-05,,
103,2.19E-06,1.63E-05,,
104,2.08E-06,1.67E-05,,
105,1.93E-06,1.73E-05,,
106,1.92E-06,1.82E-05,,
107,1.88E-06,1.89E-05,,
108,1.71E-06,1.98E-05,,
109,1.69E-06,2.05E-05,,
110,1.66E-06,2.14E-05,,
111,1.63E-06,2.26E-05,,
112,1.60E-06,2.33E-05,,
113,1.47E-06,2.43E-05,,
114,1.39E-06,2.52E-05,,
115,1.39E-06,2.65E-05,,
116,1.32E-06,2.78E-05,,
117,1.26E-06,2.89E-05,,
118,1.25E-06,3.02E-05,,
119,1.20E-06,3.16E-05,,
120,1.17E-06,3.30E-05,,
121,1.18E-06,3.45E-05,,
122,1.00E-06,3.61E-05,,
123,1.11E-06,3.80E-05,,
124,9.38E-07,3.95E-05,,
125,1.03E-06,4.13E-05,,
126,9.16E-07,4.31E-05,,
127,9.24E-07,4.49E-05,,
128,9.42E-07,4.68E-05,,
