pixel,reflectance1,reflectance2,absorption1,absorption2
1,5.52E-05,9.86E-08,,
2,5.28E-05,4.26E-08,,
3,5.08E-05,1.41E-07,,
4,4.88E-05,8.26E-08,,
5,4.63E-05,1.20E-07,,
6,4.40E-05,8.00E-08,,
7,4.19E-05,1.65E-07,,
8,4.00E-05,1.68E-07,,
9,3.78E-05,1.28E-07,,
10,3.59E-05,1.57E-07,,
11,3.41E-05,1.83E-07,,
12,3.24E-05,1.47E-07,,
13,3.06E-05,1.56E-07,,
14,2.91E-05,1.69E-07,,
15,2.76E-05,1.92E-07,,
16,2.61E-05,1.95E-07,,
17,2.48E-05,2.07E-07,,
18,2.36E-05,2.20E-07,,
19,2.23E-05,2.56E-07,,
20,2.11E-05,2.07E-07,,
21,2.01E-05,3.20E-07,,
22,1.89E-05,2.75E-07,,
23,1.80E-05,3.04E-07,,
24,1.70E-05,2.88E-07,,
25,1.61E-05,3.65E-07,,
26,1.54E-05,3.29E-07,,
27,1.44E-05,3.56E-07,,
28,1.37E-05,3.36E-07,,
29,1.31E-05,3.45E-07,,
30,1.24E-05,3.92E-07,,
31,1.17E-05,4.17E-07,,
32,1.12E-05,5.00E-07,,
33,1.06E-05,4.56E-07,,
34,9.96E-06,4.44E-07,,
35,9.62E-06,5.10E-07,,
36,9.03E-06,5.04E-07,,
37,8.64E-06,5.62E-07,,
38,8.19E-06,5.98E-07,,
39,7.92E-06,6.22E-07,,
40,7.31E-06,6.52E-07,,
41,6.99E-06,6.82E-07,,
42,6.62E-06,7.05E-07,,
43,6.25E-06,6.97E-07,,
44,5.89E-06,7.69E-07,,
45,5.65E-06,8.05E-07,,
46,5.34E-06,8.44E-07,,
47,5.12E-06,8.77E-07,,
48,4.82E-06,9.44E-07,,
49,4.66E-06,9.62E-07,,
50,4.45E-06,1.09E-06,,
51,4.24E-06,1.16E-06,,
52,4.03E-06,1.13E-06,,
53,3.81E-06,1.16E-06,,
54,3.65E-06,1.24E-06,,
55,3.48E-06,1.31E-06,,
56,3.31E-06,1.40E-06,,
57,3.18E-06,1.44E-06,,
58,3.02E-06,1.47E-06,,
59,2.86E-06,1.54E-06,,
60,2.74E-06,1.60E-06,,
61,2.57E-06,1.69E-06,,
62,2.53E-06,1.79E-06,,
63,2.35E-06,1.85E-06,,
64,2.27E-06,1.95E-06,,
65,2.17E-06,1.95E-06,,
66,2.07E-06,2.12E-06,,
67,1.94E-06,2.14E-06,,
68,1.97E-06,2.27E-06,,
69,1.81E-06,2.40E-06,,
70,1.77E-06,2.53E-06,,
71,1.66E-06,2.61E-06,,
72,1.62E-06,2.75E-06,,
73,1.51E-06,2.80E-06,,
74,1.46E-06,3.00E-06,,
75,1.42E-06,3.12E-06,,
76,1.33E-06,3.24E-06,,
77,1.22E-06,3.37E-06,,
78,1.19E-06,3.60E-06,,
79,1.16E-06,3.73E-06,,
80,1.15E-06,3.90E-06,,
81,1.12E-06,4.16E-06,,
82,1.03E-06,4.29E-06,,
83,1.04E-06,4.46E-06,,
84,9.44E-07,4.66E-06,,
85,8.91E-07,5.00E-06,,
86,8.43E-07,5.14E-06,,
87,8.37E-07,5.48E-06,,
88,8.01E-07,5.72E-06,,
89,7.66E-07,6.04E-06,,
90,7.39E-07,6.41E-06,,
91,6.56E-07,6.58E-06,,
92,6.95E-07,6.92E-06,,
93,6.35E-07,7.34E-06,,
94,5.81E-07,7.67E-06,,
95,5.98E-07,8.04E-06,,
96,5.79E-07,8.44E-06,,
97,5.67E-07,8.91E-06,,
98,5.12E-07,9.47E-06,,
99,5.02E-07,9.89E-06,,
100,4.56E-07,1.02E-05,,
101,4.36E-07,1.08E-05,,
102,4.46E-07,1.12E-05,,
103,4.10E-07,1.18E-05,,
104,3.51E-07,1.25E-05,,
105,3.97E-07,1.31E-05,,
106,3.94E-07,1.38E-05,,
107,3.40E-07,1.44E-05,,
108,3.54E-07,1.52E-05,,
109,3.32E-07,1.61E-05,,
110,2.65E-07,1.67E-05,,
111,2.89E-07,1.76E-05,,
112,2.41E-07,1.85E-05,,
113,2.72E-07,1.95E-05,,
114,2.46E-07,2.04E-05,,
115,2.43E-07,2.14E-05,,
116,2.19E-07,2.25E-05,,
117,2.25E-07,2.36E-05,,
118,1.84E-07,2.47E-05,,
119,2.31E-07,2.60E-05,,
120,2.36E-07,2.72E-05,,
121,1.98E-07,2.84E-05,,
122,1.79E-07,2.99E-05,,
123,1.92E-07,3.14E-05,,
124,1.84E-07,3.27E-05,,
125,1.68E-07,3.41E-05,,
126,1.59E-07,3.55E-05,,
127,1.52E-07,3.72E-05,,
128,1.53E-07,3.87E-05,,
