pixel,reflectance1,reflectance2,absorption1,absorption2
1,4.46E-05,5.72E-07,,
2,4.32E-05,5.98E-07,,
3,4.19E-05,6.26E-07,,
4,4.07E-05,6.04E-07,,
5,3.92E-05,6.67E-07,,
6,3.76E-05,6.98E-07,,
7,3.63E-05,6.85E-07,,
8,3.51E-05,7.70E-07,,
9,3.37E-05,7.54E-07,,
10,3.24E-05,8.02E-07,,
11,3.12E-05,7.90E-07,,
12,3.00E-05,8.49E-07,,
13,2.87E-05,8.58E-07,,
14,2.76E-05,9.02E-07,,
15,2.65E-05,9.15E-07,,
16,2.55E-05,9.49E-07,,
17,2.44E-05,1.03E-06,,
18,2.35E-05,1.07E-06,,
19,2.26E-05,1.05E-06,,
20,2.16E-05,1.13E-06,,
21,2.09E-05,1.18E-06,,
22,1.99E-05,1.23E-06,,
23,1.91E-05,1.23E-06,,
24,1.83E-05,1.28E-06,,
25,1.75E-05,1.29E-06,,
26,1.69E-05,1.37E-06,,
27,1.61E-05,1.42E-06,,
28,1.54E-05,1.46E-06,,
29,1.49E-05,1.49E-06,,
30,1.43E-05,1.59E-06,,
31,1.37E-05,1.67E-06,,
32,1.30E-05,1.68E-06,,
33,1.24E-05,1.71E-06,,
34,1.19E-05,1.81E-06,,
35,1.15E-05,1.86E-06,,
36,1.09E-05,1.91E-06,,
37,1.05E-05,1.97E-06,,
38,1.00E-05,2.07E-06,,
39,9.84E-06,2.14E-06,,
40,9.11E-06,2.19E-06,,
41,8.72E-06,2.21E-06,,
42,8.38E-06,2.34E-06,,
43,7.95E-06,2.36E-06,,
44,7.69E-06,2.43E-06,,
45,7.31E-06,2.51E-06,,
46,7.00E-06,2.63E-06,,
47,6.71E-06,2.67E-06,,
48,6.42E-06,2.84E-06,,
49,6.18E-06,2.91E-06,,
50,5.89E-06,3.00E-06,,
51,5.65E-06,3.05E-06,,
52,5.48E-06,3.22E-06,,
53,5.27E-06,3.31E-06,,
54,5.01E-06,3.38E-06,,
55,4.86E-06,3.52E-06,,
56,4.65E-06,3.61E-06,,
57,4.48E-06,3.75E-06,,
58,4.28E-06,3.86E-06,,
59,4.13E-06,3.99E-06,,
60,3.98E-06,4.14E-06,,
61,3.84E-06,4.24E-06,,
62,3.70E-06,4.44E-06,,
63,3.64E-06,4.70E-06,,
64,3.49E-06,4.73E-06,,
65,3.34E-06,4.91E-06,,
66,3.22E-06,5.07E-06,,
67,3.06E-06,5.26E-06,,
68,3.03E-06,5.47E-06,,
69,2.89E-06,5.57E-06,,
70,2.82E-06,5.81E-06,,
71,2.67E-06,5.90E-06,,
72,2.64E-06,6.19E-06,,
73,2.47E-06,6.32E-06,,
74,2.45E-06,6.53E-06,,
75,2.35E-06,6.73E-06,,
76,2.24E-06,6.98E-06,,
77,2.14E-06,7.17E-06,,
78,2.13E-06,7.44E-06,,
79,2.02E-06,7.69E-06,,
80,1.96E-06,7.91E-06,,
81,1.87E-06,8.21E-06,,
82,1.80E-06,8.46E-06,,
83,1.75E-06,8.84E-06,,
84,1.73E-06,9.11E-06,,
85,1.70E-06,9.64E-06,,
86,1.59E-06,9.87E-06,,
87,1.52E-06,1.02E-05,,
88,1.50E-06,1.07E-05,,
89,1.48E-06,1.11E-05,,
90,1.44E-06,1.17E-05,,
91,1.35E-06,1.21E-05,,
92,1.32E-06,1.26E-05,,
93,1.25E-06,1.32E-05,,
94,1.24E-06,1.35E-05,,
95,1.21E-06,1.42E-05,,
96,1.17E-06,1.47E-05,,
97,1.11E-06,1.53E-05,,
98,1.09E-06,1.60E-05,,
99,1.04E-06,1.67E-05,,
100,1.04E-06,1.72E-05,,
101,9.75E-07,1.77E-05,,
102,9.76E-07,1.83E-05,,
103,9.15E-07,1.91E-05,,
104,9.02E-07,1.98E-05,,
105,8.76E-07,2.05E-05,,
106,8.46E-07,2.13E-05,,
107,8.22E-07,2.22E-05,,
108,8.16E-07,2.31E-05,,
109,7.99E-07,2.39E-05,,
110,7.56E-07,2.47E-05,,
111,7.30E-07,2.58E-05,,
112,7.20E-07,2.66E-05,,
113,7.33E-07,2.77E-05,,
114,6.54E-07,2.85E-05,,
115,6.53E-07,2.96E-05,,
116,6.28E-07,3.06E-05,,
117,5.75E-07,3.19E-05,,
118,6.09E-07,3.31E-05,,
119,5.95E-07,3.42E-05,,
120,5.36E-07,3.54E-05,,
121,4.97E-07,3.68E-05,,
122,5.37E-07,3.83E-05,,
123,5.34E-07,3.98E-05,,
124,5.11E-07,4.13E-05,,
125,4.90E-07,4.29E-05,,
126,5.16E-07,4.43E-05,,
127,4.76E-07,4.59E-05,,
128,4.57E-07,4.74E-05,,
