pixel,reflectance1,reflectance2,absorption1,absorption2
1,3.82E-05,2.54E-07,,
2,3.69E-05,2.91E-07,,
3,3.54E-05,3.11E-07,,
4,3.40E-05,2.33E-07,,
5,3.25E-05,2.63E-07,,
6,3.11E-05,2.71E-07,,
7,2.98E-05,3.37E-07,,
8,2.85E-05,3.16E-07,,
9,2.71E-05,3.30E-07,,
10,2.60E-05,3.16E-07,,
11,2.49E-05,3.64E-07,,
12,2.38E-05,3.93E-07,,
13,2.27E-05,4.07E-07,,
14,2.17E-05,4.36E-07,,
15,2.07E-05,3.76E-07,,
16,1.98E-05,4.75E-07,,
17,1.89E-05,4.21E-07,,
18,1.81E-05,4.54E-07,,
19,1.74E-05,4.79E-07,,
20,1.66E-05,4.84E-07,,
21,1.60E-05,5.07E-07,,
22,1.53E-05,5.08E-07,,
23,1.46E-05,5.29E-07,,
24,1.40E-05,6.05E-07,,
25,1.35E-05,6.44E-07,,
26,1.29E-05,6.02E-07,,
27,1.23E-05,6.55E-07,,
28,1.17E-05,6.34E-07,,
29,1.14E-05,6.92E-07,,
30,1.09E-05,6.92E-07,,
31,1.04E-05,7.42E-07,,
32,9.97E-06,7.95E-07,,
33,9.56E-06,8.13E-07,,
34,9.16E-06,7.97E-07,,
35,8.85E-06,8.66E-07,,
36,8.46E-06,9.19E-07,,
37,8.18E-06,9.14E-07,,
38,7.85E-06,9.64E-07,,
39,7.62E-06,1.01E-06,,
40,7.16E-06,1.03E-06,,
41,6.86E-06,1.03E-06,,
42,6.57E-06,1.05E-06,,
43,6.30E-06,1.12E-06,,
44,6.03E-06,1.13E-06,,
45,5.86E-06,1.20E-06,,
46,5.56E-06,1.22E-06,,
47,5.38E-06,1.31E-06,,
48,5.15E-06,1.32E-06,,
49,4.97E-06,1.39E-06,,
50,4.78E-06,1.43E-06,,
51,4.59E-06,1.49E-06,,
52,4.40E-06,1.52E-06,,
53,4.25E-06,1.61E-06,,
54,4.09E-06,1.65E-06,,
55,3.99E-06,1.77E-06,,
56,3.84E-06,1.80E-06,,
57,3.69E-06,1.88E-06,,
58,3.53E-06,1.94E-06,,
59,3.42E-06,2.00E-06,,
60,3.26E-06,2.13E-06,,
61,3.15E-06,2.18E-06,,
62,3.01E-06,2.21E-06,,
63,2.94E-06,2.37E-06,,
64,2.91E-06,2.46E-06,,
65,2.71E-06,2.54E-06,,
66,2.63E-06,2.60E-06,,
67,2.56E-06,2.71E-06,,
68,2.43E-06,2.79E-06,,
69,2.33E-06,2.92E-06,,
70,2.26E-06,3.02E-06,,
71,2.20E-06,3.17E-06,,
72,2.14E-06,3.26E-06,,
73,2.03E-06,3.39E-06,,
74,1.96E-06,3.55E-06,,
75,1.89E-06,3.67E-06,,
76,1.80E-06,3.83E-06,,
77,1.76E-06,4.00E-06,,
78,1.69E-06,4.15E-06,,
79,1.68E-06,4.37E-06,,
80,1.59E-06,4.49E-06,,
81,1.49E-06,4.68E-06,,
82,1.47E-06,4.85E-06,,
83,1.42E-06,5.08E-06,,
84,1.36E-06,5.32E-06,,
85,1.32E-06,5.55E-06,,
86,1.30E-06,5.83E-06,,
87,1.26E-06,6.01E-06,,
88,1.18E-06,6.24E-06,,
89,1.16E-06,6.58E-06,,
90,1.10E-06,6.88E-06,,
91,1.06E-06,7.14E-06,,
92,1.04E-06,7.47E-06,,
93,1.02E-06,7.80E-06,,
94,9.39E-07,8.10E-06,,
95,9.54E-07,8.49E-06,,
96,9.10E-07,8.85E-06,,
97,9.04E-07,9.32E-06,,
98,8.50E-07,9.81E-06,,
99,8.31E-07,1.02E-05,,
100,8.11E-07,1.05E-05,,
101,7.61E-07,1.10E-05,,
102,7.22E-07,1.15E-05,,
103,7.58E-07,1.21E-05,,
104,6.52E-07,1.26E-05,,
105,6.84E-07,1.31E-05,,
106,6.37E-07,1.38E-05,,
107,6.16E-07,1.46E-05,,
108,5.94E-07,1.53E-05,,
109,5.91E-07,1.60E-05,,
110,5.69E-07,1.68E-05,,
111,5.36E-07,1.77E-05,,
112,5.30E-07,1.86E-05,,
113,5.53E-07,1.95E-05,,
114,4.67E-07,2.03E-05,,
115,4.76E-07,2.13E-05,,
116,4.45E-07,2.25E-05,,
117,4.70E-07,2.36E-05,,
118,4.69E-07,2.47E-05,,
119,4.16E-07,2.59E-05,,
120,3.80E-07,2.73E-05,,
121,3.95E-07,2.85E-05,,
122,3.80E-07,3.00E-05,,
123,3.67E-07,3.13E-05,,
124,3.82E-07,3.28E-05,,
125,3.23E-07,3.43E-05,,
126,3.66E-07,3.58E-05,,
127,3.47E-07,3.73E-05,,
128,3.42E-07,3.90E-05,,
