pixel,reflectance1,reflectance2,absorption1,absorption2
1,5.51E-05,1.33E-06,,
2,5.35E-05,1.35E-06,,
3,5.20E-05,1.38E-06,,
4,5.06E-05,1.46E-06,,
5,4.89E-05,1.42E-06,,
6,4.72E-05,1.56E-06,,
7,4.59E-05,1.54E-06,,
8,4.45E-05,1.59E-06,,
9,4.28E-05,1.66E-06,,
10,4.17E-05,1.62E-06,,
11,4.01E-05,1.76E-06,,
12,3.87E-05,1.74E-06,,
13,3.75E-05,1.78E-06,,
14,3.61E-05,1.82E-06,,
15,3.51E-05,1.88E-06,,
16,3.39E-05,1.90E-06,,
17,3.29E-05,1.99E-06,,
18,3.19E-05,1.94E-06,,
19,3.09E-05,2.03E-06,,
20,2.99E-05,2.07E-06,,
21,2.91E-05,2.21E-06,,
22,2.80E-05,2.20E-06,,
23,2.72E-05,2.30E-06,,
24,2.64E-05,2.39E-06,,
25,2.56E-05,2.35E-06,,
26,2.49E-05,2.44E-06,,
27,2.40E-05,2.54E-06,,
28,2.33E-05,2.56E-06,,
29,2.28E-05,2.70E-06,,
30,2.21E-05,2.76E-06,,
31,2.12E-05,2.75E-06,,
32,2.07E-05,2.81E-06,,
33,2.00E-05,2.96E-06,,
34,1.94E-05,2.97E-06,,
35,1.89E-05,3.15E-06,,
36,1.82E-05,3.18E-06,,
37,1.78E-05,3.27E-06,,
38,1.72E-05,3.32E-06,,
39,1.70E-05,3.50E-06,,
40,1.60E-05,3.50E-06,,
41,1.56E-05,3.59E-06,,
42,1.51E-05,3.67E-06,,
43,1.46E-05,3.78E-06,,
44,1.42E-05,3.92E-06,,
45,1.37E-05,4.00E-06,,
46,1.34E-05,4.11E-06,,
47,1.31E-05,4.21E-06,,
48,1.26E-05,4.28E-06,,
49,1.22E-05,4.50E-06,,
50,1.18E-05,4.60E-06,,
51,1.16E-05,4.75E-06,,
52,1.12E-05,4.82E-06,,
53,1.09E-05,4.98E-06,,
54,1.06E-05,5.16E-06,,
55,1.02E-05,5.27E-06,,
56,9.90E-06,5.56E-06,,
57,9.68E-06,5.69E-06,,
58,9.37E-06,5.78E-06,,
59,9.16E-06,5.88E-06,,
60,8.85E-06,6.17E-06,,
61,8.58E-06,6.28E-06,,
62,8.38E-06,6.50E-06,,
63,8.15E-06,6.78E-06,,
64,7.92E-06,6.88E-06,,
65,7.64E-06,7.07E-06,,
66,7.45E-06,7.33E-06,,
67,7.31E-06,7.46E-06,,
68,7.14E-06,7.73E-06,,
69,6.80E-06,7.86E-06,,
70,6.69E-06,8.25E-06,,
71,6.52E-06,8.42E-06,,
72,6.35E-06,8.66E-06,,
73,6.18E-06,8.85E-06,,
74,6.01E-06,9.13E-06,,
75,5.76E-06,9.40E-06,,
76,5.68E-06,9.70E-06,,
77,5.50E-06,9.98E-06,,
78,5.36E-06,1.04E-05,,
79,5.24E-06,1.07E-05,,
80,5.07E-06,1.10E-05,,
81,4.92E-06,1.13E-05,,
82,4.75E-06,1.16E-05,,
83,4.64E-06,1.20E-05,,
84,4.58E-06,1.25E-05,,
85,4.48E-06,1.30E-05,,
86,4.32E-06,1.32E-05,,
87,4.27E-06,1.36E-05,,
88,4.20E-06,1.42E-05,,
89,4.03E-06,1.46E-05,,
90,3.98E-06,1.52E-05,,
91,3.78E-06,1.54E-05,,
92,3.76E-06,1.59E-05,,
93,3.68E-06,1.65E-05,,
94,3.49E-06,1.69E-05,,
95,3.46E-06,1.76E-05,,
96,3.34E-06,1.81E-05,,
97,3.30E-06,1.87E-05,,
98,3.26E-06,1.94E-05,,
99,3.12E-06,2.02E-05,,
100,3.02E-06,2.06E-05,,
101,2.93E-06,2.12E-05,,
102,2.92E-06,2.19E-05,,
103,2.87E-06,2.28E-05,,
104,2.80E-06,2.36E-05,,
105,2.67E-06,2.43E-05,,
106,2.62E-06,2.50E-05,,
107,2.60E-06,2.61E-05,,
108,2.45E-06,2.69E-05,,
109,2.50E-06,2.79E-05,,
110,2.39E-06,2.89E-05,,
111,2.33E-06,2.98E-05,,
112,2.29E-06,3.07E-05,,
113,2.23E-06,3.19E-05,,
114,2.16E-06,3.31E-05,,
115,2.12E-06,3.41E-05,,
116,2.07E-06,3.53E-05,,
117,2.05E-06,3.67E-05,,
118,1.98E-06,3.79E-05,,
119,1.96E-06,3.93E-05,,
120,1.87E-06,4.06E-05,,
121,1.82E-06,4.21E-05,,
122,1.79E-06,4.37E-05,,
123,1.75E-06,4.57E-05,,
124,1.68E-06,4.71E-05,,
125,1.66E-06,4.87E-05,,
126,1.63E-06,5.01E-05,,
127,1.56E-06,5.19E-05,,
128,1.59E-06,5.35E-05,,
