pixel,reflectance1,reflectance2,absorption1,absorption2
1,6.43E-05,9.64E-07,,
2,6.14E-05,1.02E-06,,
3,5.92E-05,9.69E-07,,
4,5.70E-05,1.05E-06,,
5,5.46E-05,1.11E-06,,
6,5.24E-05,1.17E-06,,
7,5.03E-05,1.20E-06,,
8,4.84E-05,1.13E-06,,
9,4.63E-05,1.24E-06,,
10,4.44E-05,1.27E-06,,
11,4.27E-05,1.27E-06,,
12,4.10E-05,1.28E-06,,
13,3.93E-05,1.32E-06,,
14,3.77E-05,1.34E-06,,
15,3.64E-05,1.44E-06,,
16,3.47E-05,1.44E-06,,
17,3.34E-05,1.55E-06,,
18,3.22E-05,1.59E-06,,
19,3.10E-05,1.62E-06,,
20,2.97E-05,1.61E-06,,
21,2.87E-05,1.75E-06,,
22,2.74E-05,1.72E-06,,
23,2.64E-05,1.76E-06,,
24,2.53E-05,1.80E-06,,
25,2.41E-05,1.84E-06,,
26,2.33E-05,1.90E-06,,
27,2.24E-05,2.01E-06,,
28,2.14E-05,2.02E-06,,
29,2.08E-05,2.12E-06,,
30,2.00E-05,2.23E-06,,
31,1.91E-05,2.26E-06,,
32,1.84E-05,2.26E-06,,
33,1.77E-05,2.39E-06,,
34,1.69E-05,2.43E-06,,
35,1.64E-05,2.53E-06,,
36,1.57E-05,2.62E-06,,
37,1.51E-05,2.65E-06,,
38,1.45E-05,2.73E-06,,
39,1.42E-05,2.82E-06,,
40,1.34E-05,2.88E-06,,
41,1.29E-05,2.94E-06,,
42,1.23E-05,2.98E-06,,
43,1.18E-05,3.04E-06,,
44,1.14E-05,3.10E-06,,
45,1.10E-05,3.26E-06,,
46,1.06E-05,3.35E-06,,
47,1.02E-05,3.42E-06,,
48,9.85E-06,3.51E-06,,
49,9.57E-06,3.63E-06,,
50,9.17E-06,3.71E-06,,
51,8.89E-06,3.85E-06,,
52,8.63E-06,3.94E-06,,
53,8.32E-06,4.09E-06,,
54,8.08E-06,4.16E-06,,
55,7.92E-06,4.39E-06,,
56,7.55E-06,4.50E-06,,
57,7.35E-06,4.63E-06,,
58,7.09E-06,4.74E-06,,
59,6.88E-06,4.90E-06,,
60,6.72E-06,5.14E-06,,
61,6.49E-06,5.27E-06,,
62,6.23E-06,5.42E-06,,
63,6.18E-06,5.71E-06,,
64,5.86E-06,5.79E-06,,
65,5.67E-06,6.07E-06,,
66,5.46E-06,6.20E-06,,
67,5.25E-06,6.34E-06,,
68,5.13E-06,6.65E-06,,
69,5.03E-06,6.89E-06,,
70,4.81E-06,7.11E-06,,
71,4.59E-06,7.29E-06,,
72,4.52E-06,7.52E-06,,
73,4.35E-06,7.81E-06,,
74,4.16E-06,8.08E-06,,
75,4.02E-06,8.37E-06,,
76,3.92E-06,8.63E-06,,
77,3.76E-06,8.90E-06,,
78,3.63E-06,9.12E-06,,
79,3.54E-06,9.46E-06,,
80,3.42E-06,9.89E-06,,
81,3.35E-06,1.02E-05,,
82,3.19E-06,1.06E-05,,
83,3.12E-06,1.10E-05,,
84,3.01E-06,1.14E-05,,
85,2.94E-06,1.18E-05,,
86,2.82E-06,1.21E-05,,
87,2.72E-06,1.25E-05,,
88,2.66E-06,1.31E-05,,
89,2.58E-06,1.36E-05,,
90,2.48E-06,1.41E-05,,
91,2.39E-06,1.44E-05,,
92,2.37E-06,1.49E-05,,
93,2.23E-06,1.54E-05,,
94,2.20E-06,1.60E-05,,
95,2.16E-06,1.66E-05,,
96,2.03E-06,1.71E-05,,
97,2.02E-06,1.78E-05,,
98,1.92E-06,1.86E-05,,
99,1.87E-06,1.92E-05,,
100,1.80E-06,1.97E-05,,
101,1.75E-06,2.04E-05,,
102,1.70E-06,2.11E-05,,
103,1.70E-06,2.19E-05,,
104,1.62E-06,2.26E-05,,
105,1.59E-06,2.34E-05,,
106,1.49E-06,2.42E-05,,
107,1.51E-06,2.50E-05,,
108,1.41E-06,2.60E-05,,
109,1.42E-06,2.70E-05,,
110,1.37E-06,2.81E-05,,
111,1.35E-06,2.93E-05,,
112,1.31E-06,3.04E-05,,
113,1.27E-06,3.15E-05,,
114,1.26E-06,3.27E-05,,
115,1.22E-06,3.40E-05,,
116,1.19E-06,3.56E-05,,
117,1.19E-06,3.72E-05,,
118,1.11E-06,3.86E-05,,
119,1.14E-06,4.04E-05,,
120,1.10E-06,4.23E-05,,
121,1.02E-06,4.42E-05,,
122,1.03E-06,4.61E-05,,
123,1.02E-06,4.83E-05,,
124,1.02E-06,5.03E-05,,
125,9.76E-07,5.24E-05,,
126,9.26E-07,5.44E-05,,
127,9.31E-07,5.68E-05,,
128,8.97E-07,5.89E-05,,
