pixel,reflectance1,reflectance2,absorption1,absorption2
1,3.41E-05,1.11E-07,,
2,3.31E-05,1.14E-07,,
3,3.07E-05,1.51E-07,,
4,2.94E-05,9.12E-08,,
5,2.80E-05,1.38E-07,,
6,2.67E-05,1.33E-07,,
7,2.55E-05,1.25E-07,,
8,2.43E-05,1.59E-07,,
9,2.31E-05,1.31E-07,,
10,2.20E-05,1.32E-07,,
11,2.10E-05,1.26E-07,,
12,1.99E-05,1.57E-07,,
13,1.89E-05,1.80E-07,,
14,1.80E-05,1.52E-07,,
15,1.72E-05,1.82E-07,,
16,1.63E-05,1.73E-07,,
17,1.55E-05,2.00E-07,,
18,1.48E-05,1.91E-07,,
19,1.41E-05,2.05E-07,,
20,1.34E-05,2.10E-07,,
21,1.28E-05,2.48E-07,,
22,1.21E-05,2.49E-07,,
23,1.16E-05,2.61E-07,,
24,1.10E-05,2.38E-07,,
25,1.05E-05,2.76E-07,,
26,1.00E-05,2.51E-07,,
27,9.51E-06,2.78E-07,,
28,9.06E-06,3.06E-07,,
29,8.77E-06,3.47E-07,,
30,8.31E-06,3.23E-07,,
31,7.87E-06,3.88E-07,,
32,7.52E-06,3.61E-07,,
33,7.22E-06,3.71E-07,,
34,6.83E-06,3.72E-07,,
35,6.68E-06,4.01E-07,,
36,6.31E-06,4.00E-07,,
37,6.08E-06,4.69E-07,,
38,5.83E-06,4.36E-07,,
39,5.70E-06,4.97E-07,,
40,5.34E-06,5.13E-07,,
41,5.10E-06,5.44E-07,,
42,4.88E-06,5.41E-07,,
43,4.69E-06,5.76E-07,,
44,4.47E-06,5.86E-07,,
45,4.32E-06,6.25E-07,,
46,4.14E-06,6.80E-07,,
47,4.00E-06,6.74E-07,,
48,3.76E-06,6.95E-07,,
49,3.66E-06,7.95E-07,,
50,3.52E-06,7.94E-07,,
51,3.35E-06,8.41E-07,,
52,3.25E-06,8.69E-07,,
53,3.11E-06,9.02E-07,,
54,2.94E-06,9.44E-07,,
55,2.83E-06,9.81E-07,,
56,2.69E-06,1.01E-06,,
57,2.58E-06,1.07E-06,,
58,2.51E-06,1.14E-06,,
59,2.38E-06,1.18E-06,,
60,2.27E-06,1.26E-06,,
61,2.19E-06,1.30E-06,,
62,2.08E-06,1.38E-06,,
63,2.03E-06,1.46E-06,,
64,1.91E-06,1.49E-06,,
65,1.82E-06,1.55E-06,,
66,1.73E-06,1.63E-06,,
67,1.67E-06,1.73E-06,,
68,1.60E-06,1.81E-06,,
69,1.52E-06,1.86E-06,,
70,1.46E-06,1.99E-06,,
71,1.38E-06,2.07E-06,,
72,1.35E-06,2.21E-06,,
73,1.25E-06,2.27E-06,,
74,1.20E-06,2.35E-06,,
75,1.15E-06,2.46E-06,,
76,1.11E-06,2.59E-06,,
77,1.05E-06,2.68E-06,,
78,1.02E-06,2.85E-06,,
79,9.76E-07,2.97E-06,,
80,9.35E-07,3.08E-06,,
81,8.87E-07,3.23E-06,,
82,8.34E-07,3.42E-06,,
83,8.19E-07,3.58E-06,,
84,7.92E-07,3.79E-06,,
85,7.75E-07,3.97E-06,,
86,7.10E-07,4.21E-06,,
87,7.02E-07,4.43E-06,,
88,6.52E-07,4.56E-06,,
89,6.46E-07,4.81E-06,,
90,6.00E-07,5.09E-06,,
91,5.75E-07,5.37E-06,,
92,6.03E-07,5.63E-06,,
93,5.49E-07,5.94E-06,,
94,5.21E-07,6.15E-06,,
95,4.76E-07,6.53E-06,,
96,4.83E-07,6.85E-06,,
97,4.37E-07,7.17E-06,,
98,4.76E-07,7.66E-06,,
99,4.50E-07,8.11E-06,,
100,4.02E-07,8.38E-06,,
101,3.91E-07,8.81E-06,,
102,4.02E-07,9.26E-06,,
103,3.42E-07,9.71E-06,,
104,3.49E-07,1.03E-05,,
105,3.32E-07,1.07E-05,,
106,3.09E-07,1.13E-05,,
107,3.07E-07,1.19E-05,,
108,3.24E-07,1.26E-05,,
109,2.96E-07,1.32E-05,,
110,2.79E-07,1.39E-05,,
111,2.51E-07,1.46E-05,,
112,2.43E-07,1.53E-05,,
113,2.31E-07,1.60E-05,,
114,2.38E-07,1.69E-05,,
115,2.32E-07,1.76E-05,,
116,2.23E-07,1.86E-05,,
117,2.26E-07,1.96E-05,,
118,1.78E-07,2.04E-05,,
119,1.99E-07,2.15E-05,,
120,2.06E-07,2.27E-05,,
121,1.50E-07,2.37E-05,,
122,1.72E-07,2.50E-05,,
123,1.82E-07,2.63E-05,,
124,1.58E-07,2.75E-05,,
125,1.38E-07,2.88E-05,,
126,1.59E-07,3.02E-05,,
127,1.47E-07,3.16E-05,,
128,1.31E-07,3.30E-05,,
