pixel,reflectance1,reflectance2,absorption1,absorption2
1,7.67E-05,0,,
2,7.40E-05,0,,
3,7.12E-05,0,,
4,6.85E-05,0,,
5,6.56E-05,0,,
6,6.30E-05,0,,
7,6.05E-05,0,,
8,5.80E-05,0,,
9,5.55E-05,0,,
10,5.31E-05,0,,
11,5.11E-05,0,,
12,4.89E-05,0,,
13,4.68E-05,0,,
14,4.48E-05,0,,
15,4.33E-05,0,,
16,4.13E-05,0,,
17,3.95E-05,0,,
18,3.81E-05,0,,
19,3.65E-05,0,,
20,3.49E-05,0,,
21,3.36E-05,0,,
22,3.22E-05,0,,
23,3.08E-05,0,,
24,2.94E-05,0,,
25,2.82E-05,0,,
26,2.72E-05,0,,
27,2.60E-05,0,,
28,2.48E-05,0,,
29,2.39E-05,0,,
30,2.29E-05,0,,
31,2.18E-05,0,,
32,2.08E-05,0,,
33,2.00E-05,0,,
34,1.91E-05,0,,
35,1.84E-05,0,,
36,1.75E-05,0,,
37,1.69E-05,0,,
38,1.61E-05,0,,
39,1.58E-05,0,,
40,1.46E-05,0,,
41,1.40E-05,0,,
42,1.33E-05,0,,
43,1.28E-05,0,,
44,1.22E-05,0,,
45,1.16E-05,0,,
46,1.11E-05,0,,
47,1.07E-05,0,,
48,1.00E-05,1.00E-08,,
49,9.68E-06,1.50E-08,,
50,9.21E-06,4.35E-08,,
51,8.83E-06,1.89E-07,,
52,8.39E-06,2.66E-07,,
53,8.11E-06,3.98E-07,,
54,7.65E-06,4.83E-07,,
55,7.22E-06,6.54E-07,,
56,6.95E-06,8.21E-07,,
57,6.58E-06,8.52E-07,,
58,6.38E-06,1.03E-06,,
59,5.96E-06,1.23E-06,,
60,5.64E-06,1.34E-06,,
61,5.47E-06,1.64E-06,,
62,5.16E-06,1.71E-06,,
63,4.96E-06,1.85E-06,,
64,4.59E-06,2.03E-06,,
65,4.34E-06,2.19E-06,,
66,4.14E-06,2.34E-06,,
67,3.93E-06,2.42E-06,,
68,3.72E-06,2.73E-06,,
69,3.49E-06,3.01E-06,,
70,3.31E-06,3.11E-06,,
71,3.09E-06,3.41E-06,,
72,2.85E-06,3.57E-06,,
73,2.83E-06,3.81E-06,,
74,2.61E-06,4.02E-06,,
75,2.44E-06,4.34E-06,,
76,2.39E-06,4.57E-06,,
77,2.13E-06,4.88E-06,,
78,2.04E-06,5.08E-06,,
79,1.86E-06,5.35E-06,,
80,1.72E-06,5.64E-06,,
81,1.61E-06,6.04E-06,,
82,1.50E-06,6.38E-06,,
83,1.31E-06,6.68E-06,,
84,1.31E-06,6.97E-06,,
85,1.10E-06,7.50E-06,,
86,1.06E-06,7.75E-06,,
87,9.47E-07,8.07E-06,,
88,7.95E-07,8.51E-06,,
89,7.90E-07,8.94E-06,,
90,7.03E-07,9.53E-06,,
91,5.57E-07,9.77E-06,,
92,3.62E-07,1.03E-05,,
93,3.41E-07,1.08E-05,,
94,2.33E-07,1.13E-05,,
95,1.75E-07,1.20E-05,,
96,5.74E-08,1.24E-05,,
97,3.91E-08,1.30E-05,,
98,4.27E-08,1.38E-05,,
99,1.83E-08,1.44E-05,,
100,0,1.50E-05,,
101,0,1.56E-05,,
102,1.22E-09,1.63E-05,,
103,0,1.71E-05,,
104,0,1.81E-05,,
105,0,1.87E-05,,
106,0,1.98E-05,,
107,0,2.07E-05,,
108,0,2.17E-05,,
109,0,2.27E-05,,
110,0,2.37E-05,,
111,0,2.51E-05,,
112,0,2.62E-05,,
113,0,2.74E-05,,
114,0,2.86E-05,,
115,0,3.00E-05,,
116,0,3.13E-05,,
117,0,3.29E-05,,
118,0,3.46E-05,,
119,0,3.60E-05,,
120,0,3.77E-05,,
121,0,3.94E-05,,
122,0,4.13E-05,,
123,0,4.31E-05,,
124,0,4.53E-05,,
125,0,4.69E-05,,
126,0,4.91E-05,,
127,0,5.09E-05,,
128,0,5.30E-05,,
