pixel,reflectance1,reflectance2,absorption1,absorption2
1,6.11E-05,3.65E-07,,
2,5.90E-05,3.20E-07,,
3,5.70E-05,3.96E-07,,
4,5.52E-05,3.49E-07,,
5,5.32E-05,4.36E-07,,
6,5.12E-05,3.93E-07,,
7,4.95E-05,4.35E-07,,
8,4.77E-05,4.63E-07,,
9,4.58E-05,4.55E-07,,
10,4.41E-05,4.55E-07,,
11,4.26E-05,4.67E-07,,
12,4.10E-05,4.56E-07,,
13,3.95E-05,5.00E-07,,
14,3.78E-05,5.30E-07,,
15,3.66E-05,5.01E-07,,
16,3.52E-05,5.36E-07,,
17,3.40E-05,5.15E-07,,
18,3.28E-05,5.35E-07,,
19,3.17E-05,6.40E-07,,
20,3.05E-05,6.03E-07,,
21,2.95E-05,6.46E-07,,
22,2.83E-05,6.86E-07,,
23,2.74E-05,7.21E-07,,
24,2.65E-05,7.06E-07,,
25,2.53E-05,7.09E-07,,
26,2.47E-05,7.93E-07,,
27,2.38E-05,8.20E-07,,
28,2.28E-05,7.40E-07,,
29,2.23E-05,8.60E-07,,
30,2.15E-05,9.11E-07,,
31,2.06E-05,9.25E-07,,
32,2.00E-05,8.59E-07,,
33,1.91E-05,9.43E-07,,
34,1.86E-05,9.87E-07,,
35,1.80E-05,1.03E-06,,
36,1.73E-05,1.02E-06,,
37,1.68E-05,1.06E-06,,
38,1.63E-05,1.14E-06,,
39,1.60E-05,1.22E-06,,
40,1.49E-05,1.15E-06,,
41,1.45E-05,1.20E-06,,
42,1.40E-05,1.31E-06,,
43,1.35E-05,1.31E-06,,
44,1.31E-05,1.38E-06,,
45,1.26E-05,1.41E-06,,
46,1.22E-05,1.47E-06,,
47,1.18E-05,1.46E-06,,
48,1.13E-05,1.53E-06,,
49,1.11E-05,1.67E-06,,
50,1.06E-05,1.64E-06,,
51,1.03E-05,1.76E-06,,
52,9.92E-06,1.77E-06,,
53,9.61E-06,1.83E-06,,
54,9.23E-06,1.92E-06,,
55,8.95E-06,1.95E-06,,
56,8.69E-06,2.05E-06,,
57,8.41E-06,2.14E-06,,
58,8.12E-06,2.23E-06,,
59,7.89E-06,2.25E-06,,
60,7.61E-06,2.39E-06,,
61,7.38E-06,2.45E-06,,
62,7.08E-06,2.49E-06,,
63,6.90E-06,2.66E-06,,
64,6.66E-06,2.65E-06,,
65,6.42E-06,2.76E-06,,
66,6.21E-06,2.83E-06,,
67,6.02E-06,2.98E-06,,
68,5.85E-06,3.02E-06,,
69,5.64E-06,3.21E-06,,
70,5.38E-06,3.25E-06,,
71,5.18E-06,3.30E-06,,
72,5.11E-06,3.43E-06,,
73,4.88E-06,3.54E-06,,
74,4.73E-06,3.71E-06,,
75,4.59E-06,3.80E-06,,
76,4.44E-06,3.96E-06,,
77,4.20E-06,4.07E-06,,
78,4.14E-06,4.25E-06,,
79,3.99E-06,4.45E-06,,
80,3.87E-06,4.52E-06,,
81,3.68E-06,4.73E-06,,
82,3.62E-06,4.90E-06,,
83,3.51E-06,5.13E-06,,
84,3.39E-06,5.27E-06,,
85,3.28E-06,5.53E-06,,
86,3.16E-06,5.58E-06,,
87,3.04E-06,5.86E-06,,
88,2.93E-06,6.10E-06,,
89,2.86E-06,6.33E-06,,
90,2.80E-06,6.65E-06,,
91,2.66E-06,6.69E-06,,
92,2.64E-06,7.11E-06,,
93,2.50E-06,7.40E-06,,
94,2.41E-06,7.56E-06,,
95,2.34E-06,7.92E-06,,
96,2.23E-06,8.18E-06,,
97,2.20E-06,8.73E-06,,
98,2.19E-06,9.04E-06,,
99,2.06E-06,9.40E-06,,
100,2.00E-06,9.66E-06,,
101,1.91E-06,9.99E-06,,
102,1.87E-06,1.04E-05,,
103,1.85E-06,1.09E-05,,
104,1.78E-06,1.13E-05,,
105,1.71E-06,1.18E-05,,
106,1.65E-06,1.24E-05,,
107,1.65E-06,1.29E-05,,
108,1.52E-06,1.33E-05,,
109,1.53E-06,1.40E-05,,
110,1.49E-06,1.45E-05,,
111,1.40E-06,1.52E-05,,
112,1.37E-06,1.59E-05,,
113,1.35E-06,1.65E-05,,
114,1.29E-06,1.72E-05,,
115,1.28E-06,1.79E-05,,
116,1.23E-06,1.87E-05,,
117,1.15E-06,1.95E-05,,
118,1.15E-06,2.04E-05,,
119,1.08E-06,2.11E-05,,
120,1.03E-06,2.21E-05,,
121,1.03E-06,2.31E-05,,
122,1.01E-06,2.41E-05,,
123,9.98E-07,2.53E-05,,
124,9.36E-07,2.63E-05,,
125,9.06E-07,2.73E-05,,
126,8.41E-07,2.83E-05,,
127,8.81E-07,2.96E-05,,
128,7.99E-07,3.07E-05,,
