pixel,reflectance1,reflectance2,absorption1,absorption2
1,0.000101808,2.22E-06,,
2,9.78E-05,2.33E-06,,
3,9.45E-05,2.24E-06,,
4,9.21E-05,2.62E-06,,
5,8.86E-05,2.43E-06,,
6,8.56E-05,2.46E-06,,
7,8.27E-05,2.52E-06,,
8,7.97E-05,2.59E-06,,
9,7.69E-05,2.66E-06,,
10,7.43E-05,2.65E-06,,
11,7.18E-05,2.64E-06,,
12,6.90E-05,2.88E-06,,
13,6.65E-05,2.95E-06,,
14,6.42E-05,2.92E-06,,
15,6.22E-05,2.98E-06,,
16,5.97E-05,3.11E-06,,
17,5.77E-05,3.24E-06,,
18,5.57E-05,3.17E-06,,
19,5.37E-05,3.20E-06,,
20,5.20E-05,3.45E-06,,
21,5.03E-05,3.48E-06,,
22,4.85E-05,3.45E-06,,
23,4.68E-05,3.64E-06,,
24,4.51E-05,3.62E-06,,
25,4.34E-05,3.80E-06,,
26,4.22E-05,3.92E-06,,
27,4.07E-05,4.00E-06,,
28,3.92E-05,3.98E-06,,
29,3.82E-05,4.14E-06,,
30,3.70E-05,4.22E-06,,
31,3.55E-05,4.24E-06,,
32,3.44E-05,4.49E-06,,
33,3.33E-05,4.66E-06,,
34,3.22E-05,4.69E-06,,
35,3.15E-05,4.81E-06,,
36,3.02E-05,5.03E-06,,
37,2.95E-05,5.02E-06,,
38,2.84E-05,5.25E-06,,
39,2.81E-05,5.34E-06,,
40,2.64E-05,5.42E-06,,
41,2.56E-05,5.51E-06,,
42,2.47E-05,5.87E-06,,
43,2.41E-05,5.87E-06,,
44,2.33E-05,5.93E-06,,
45,2.27E-05,6.13E-06,,
46,2.20E-05,6.41E-06,,
47,2.13E-05,6.54E-06,,
48,2.06E-05,6.61E-06,,
49,2.01E-05,6.76E-06,,
50,1.93E-05,6.98E-06,,
51,1.88E-05,7.10E-06,,
52,1.82E-05,7.42E-06,,
53,1.77E-05,7.56E-06,,
54,1.71E-05,7.85E-06,,
55,1.65E-05,7.95E-06,,
56,1.62E-05,8.22E-06,,
57,1.56E-05,8.43E-06,,
58,1.51E-05,8.72E-06,,
59,1.48E-05,8.85E-06,,
60,1.43E-05,9.11E-06,,
61,1.39E-05,9.43E-06,,
62,1.35E-05,9.62E-06,,
63,1.33E-05,1.01E-05,,
64,1.27E-05,1.03E-05,,
65,1.24E-05,1.06E-05,,
66,1.19E-05,1.08E-05,,
67,1.17E-05,1.11E-05,,
68,1.15E-05,1.15E-05,,
69,1.11E-05,1.18E-05,,
70,1.07E-05,1.21E-05,,
71,1.06E-05,1.25E-05,,
72,1.03E-05,1.29E-05,,
73,1.00E-05,1.32E-05,,
74,9.62E-06,1.36E-05,,
75,9.47E-06,1.41E-05,,
76,9.21E-06,1.46E-05,,
77,8.95E-06,1.50E-05,,
78,8.77E-06,1.56E-05,,
79,8.49E-06,1.58E-05,,
80,8.23E-06,1.65E-05,,
81,7.99E-06,1.69E-05,,
82,7.72E-06,1.74E-05,,
83,7.71E-06,1.82E-05,,
84,7.46E-06,1.90E-05,,
85,7.31E-06,1.96E-05,,
86,7.07E-06,2.03E-05,,
87,6.87E-06,2.08E-05,,
88,6.57E-06,2.16E-05,,
89,6.61E-06,2.26E-05,,
90,6.37E-06,2.34E-05,,
91,6.22E-06,2.41E-05,,
92,6.22E-06,2.50E-05,,
93,5.96E-06,2.59E-05,,
94,5.72E-06,2.66E-05,,
95,5.55E-06,2.77E-05,,
96,5.32E-06,2.85E-05,,
97,5.36E-06,2.97E-05,,
98,5.20E-06,3.12E-05,,
99,5.12E-06,3.21E-05,,
100,4.92E-06,3.31E-05,,
101,4.78E-06,3.40E-05,,
102,4.63E-06,3.54E-05,,
103,4.45E-06,3.68E-05,,
104,4.39E-06,3.80E-05,,
105,4.34E-06,3.93E-05,,
106,4.17E-06,4.09E-05,,
107,4.13E-06,4.28E-05,,
108,3.98E-06,4.46E-05,,
109,3.84E-06,4.63E-05,,
110,3.85E-06,4.80E-05,,
111,3.70E-06,4.98E-05,,
112,3.62E-06,5.17E-05,,
113,3.49E-06,5.38E-05,,
114,3.41E-06,5.55E-05,,
115,3.30E-06,5.80E-05,,
116,3.39E-06,5.99E-05,,
117,3.15E-06,6.23E-05,,
118,3.24E-06,6.49E-05,,
119,3.00E-06,6.73E-05,,
120,2.94E-06,6.96E-05,,
121,2.91E-06,7.22E-05,,
122,2.86E-06,7.53E-05,,
123,2.79E-06,7.83E-05,,
124,2.75E-06,8.11E-05,,
125,2.61E-06,8.39E-05,,
126,2.62E-06,8.68E-05,,
127,2.49E-06,8.97E-05,,
128,2.42E-06,9.27E-05,,
